#{"t_start": 1763553448.0289457, "env_id": "BipedalWalker-v3"}
r,l,t
-95.400032,88,3.325451
-113.535049,86,4.368654
-114.530601,63,5.137764
-117.149724,79,5.920629
-103.911255,56,6.405305
-108.054541,45,6.789798
-112.293226,1600,22.639205
-116.812365,65,55.100374
-100.64323,96,56.311939
-117.771357,59,56.81399
-102.834513,93,57.682158
-111.213523,44,58.15732
-132.416446,1600,75.588109
-98.658568,82,76.19757
-114.518894,60,107.573345
-107.726172,1600,124.936635
-105.280628,1600,193.334396
-94.6181,1600,261.539951
-109.356081,93,262.57124
-96.036451,1600,334.38658
-85.121814,1600,352.562623
-117.586861,86,385.074528
-108.040473,83,385.958618
-117.837212,83,386.690638
-79.641996,1600,435.283121
-104.074489,71,436.010706
-105.573781,102,437.006464
-73.568327,1600,517.740277
-57.851433,1600,586.774863
-111.810948,226,599.944229
-103.383291,53,600.630654
-60.675017,1600,668.471048
-52.266715,1600,748.356305
-41.390108,1600,798.114357
-31.643116,1600,866.624449
-24.890268,1600,945.475907
-16.647875,1600,1015.770255
-2.510271,1600,1095.947582
13.607094,1600,1134.363456
12.498018,1600,1214.90152
24.414812,1600,1285.439085
41.661881,1600,1365.472956
41.848743,1600,1440.921758
41.158102,1600,1473.939124
59.361639,1600,1533.591579
69.299933,1600,1589.481601
103.968477,1600,1646.360201
106.031424,1600,1666.870965
122.925881,1600,1720.931355
113.615562,1600,1775.024479
-91.95899,254,1780.264286
147.441145,1600,1830.249706
11.293239,1127,1847.469505
168.427384,1600,1903.693991
178.962382,1600,1958.540495
156.177093,1600,2017.536248
151.054272,1600,2074.669768
168.244963,1600,2107.085421
191.560702,1600,2164.707152
20.885787,931,2208.320302
253.343891,1569,2237.402469
255.683059,1542,2290.190925
121.185659,1483,2343.633319
251.276244,1594,2407.616984
252.607667,1577,2438.390052
251.199405,1598,2495.858923
57.354613,854,2542.084954
-8.363695,556,2554.685249
104.567049,1208,2579.723835
257.006514,1482,2640.472099
257.213776,1513,2695.1349
258.714705,1472,2745.136717
268.330402,1317,2778.743406
268.14846,1370,2829.694461
269.692711,1300,2878.151318
273.177772,1254,2901.614173
271.71649,1279,2954.898853
