#{"t_start": 1763553448.036152, "env_id": "BipedalWalker-v3"}
r,l,t
-129.552245,163,4.181102
-116.92138,1600,19.502161
-104.371637,49,19.900533
-202.083159,1112,63.873376
-110.205773,101,64.879266
-110.65921,57,65.41005
-114.497956,102,67.175925
-118.284647,1600,114.921358
-118.794459,89,115.874642
-113.822856,62,116.497999
-104.036916,60,117.088967
-112.700237,58,118.40197
-104.939328,60,118.951816
-122.463533,130,120.09271
-102.006442,79,120.838522
-117.4141,86,121.70883
-111.559416,1600,190.798429
-98.814371,64,191.331912
-112.135699,1600,247.570098
-110.087127,146,260.721184
-96.5718,1600,332.795607
-91.495111,1600,350.370241
-105.605515,74,351.10276
-79.778343,1600,420.601329
-90.411089,1600,502.203605
-100.560656,59,502.843798
-102.086371,75,503.921325
-106.500859,64,504.454347
-113.427345,55,505.073081
-103.607897,81,515.767027
-60.182504,1600,584.410609
-63.008582,1600,664.212851
-46.534627,1600,701.123669
-36.375394,1600,782.39398
-32.523675,1600,852.280091
-110.254705,59,852.750402
-32.830958,1600,929.536924
-6.5741,1600,1011.456808
-107.644862,35,1011.844682
1.60729,1600,1049.059203
3.58668,1600,1130.305607
15.189091,1600,1198.640993
24.465081,1600,1282.304792
37.317018,1600,1351.740539
42.842851,1600,1399.181228
58.457784,1600,1462.206354
73.278488,1600,1526.954913
74.502026,1600,1585.88176
88.878635,1600,1607.477895
99.029992,1600,1663.890031
116.836249,1600,1714.704989
11.137026,1460,1769.889066
-1.477065,1094,1783.260524
125.491302,1600,1836.416871
186.121941,1600,1890.653423
22.66631,1343,1908.87926
160.082774,1600,1967.180189
174.912155,1600,2027.508066
182.752729,1600,2083.445078
196.694834,1600,2148.797403
227.805215,1600,2169.724693
46.408402,943,2218.928217
250.15334,1600,2278.543798
59.00617,1105,2291.27582
257.274865,1512,2349.906692
-22.262039,480,2354.533615
241.691547,1600,2417.920088
259.903792,1490,2474.620085
-101.497222,65,2481.241021
128.22445,1311,2505.488895
254.125395,1556,2567.30982
156.81646,1366,2621.181831
268.642317,1353,2645.069733
-20.665365,556,2686.54263
269.536763,1323,2706.238622
267.874889,1386,2766.957088
268.358047,1358,2820.059529
269.517774,1317,2842.558614
273.994579,1273,2890.580992
271.223599,1274,2943.790683
272.513435,1298,2968.282938
277.265598,1212,3020.729811
273.253269,1286,3045.503377
269.62299,1319,3097.718808
276.347754,1216,3150.920829
280.92226,1161,3173.284115
275.83323,1223,3223.313417
281.292316,1148,3246.521125
-15.283896,402,3278.144178
113.89125,955,3299.561942
281.849099,1163,3347.94037
272.004184,1282,3370.766237
3.681791,470,3382.130139
277.886147,1200,3436.139415
280.513624,1156,3484.173213
275.942536,1231,3509.049911
283.669058,1128,3561.298542
-76.575692,184,3562.967045
280.646998,1124,3586.312772
282.654395,1141,3639.901868
29.141712,686,3653.370532
170.903888,1083,3706.501702
178.56322,1072,3729.841914
282.795568,1127,3775.322388
283.771711,1116,3800.799869
286.740518,1044,3854.741634
84.952857,683,3869.727868
282.084075,1143,3926.68108
75.812935,680,3941.397628
73.860585,715,3988.560801
170.725942,1009,4013.538941
282.830174,1125,4064.235683
282.406825,1133,4089.264016
23.319063,507,4101.239098
282.225975,1124,4160.596939
121.146425,846,4175.301524
284.893995,1094,4234.284479
286.511194,1078,4258.535328
100.946942,791,4308.133959
283.369437,1116,4332.472451
284.416727,1076,4391.417356
282.906357,1098,4408.340703
290.528265,1001,4462.24698
282.968772,1094,4488.112502
282.879555,1090,4535.936054
282.996647,1069,4561.518616
-84.824792,112,4592.760822
285.561905,1049,4615.183148
-101.135502,90,4615.943549
289.194742,1025,4667.302668
287.758083,1031,4683.810166
281.6849,1107,4740.280053
283.590106,1074,4764.830404
284.541204,1044,4815.777273
285.017491,1070,4832.085755
-49.326333,231,4840.935895
287.049941,1020,4887.832561
95.533173,691,4901.663855
285.432993,1032,4957.956294
284.345276,1040,4980.039083
284.371913,1051,5028.22916
171.285254,1010,5052.052363
285.176256,1023,5107.398325
284.673372,1037,5125.597993
288.811774,999,5183.419611
286.323301,1029,5201.585852
289.030032,1009,5260.219246
-49.27431,240,5262.533001
289.065303,990,5285.766069
287.5487,990,5342.52477
288.864107,987,5360.02337
180.630872,1008,5420.674181
286.863044,1005,5436.704884
292.106501,959,5490.423755
289.39369,968,5513.43886
288.7842,1004,5562.240222
285.481852,1050,5585.996212
291.701144,951,5635.224784
285.231768,1015,5658.882604
288.648787,971,5714.441981
288.911969,997,5731.303749
284.031124,1018,5787.81683
284.111895,1008,5805.374609
289.726004,963,5828.901676
287.385707,1003,5887.764871
289.000769,957,5904.077887
289.227139,968,5959.51208
-10.006038,376,5963.347131
288.075446,961,6017.298217
288.278586,987,6031.859915
288.88885,988,6087.494631
291.403421,948,6102.978467
291.321456,940,6126.459093
289.108976,973,6174.295996
286.52418,979,6196.463625
289.708932,954,6250.530783
287.622874,1004,6267.094543
290.204315,952,6322.100358
289.658219,971,6338.893578
291.854553,936,6398.78687
133.903008,785,6411.403269
291.50901,929,6456.674751
285.734203,1008,6481.530451
288.436856,973,6541.306302
291.194353,945,6557.366732
289.361795,962,6614.779737
290.898014,941,6630.634669
286.83701,1008,6653.359077
290.384332,930,6704.964804
37.025688,537,6717.534129
290.821028,920,6772.722071
291.581216,942,6787.715424
289.818818,952,6844.396914
133.710257,785,6859.402348
290.214385,932,6875.251325
289.32074,978,6931.941648
289.186347,940,6948.721121
292.616007,934,7005.932758
288.50184,977,7028.938847
291.005115,929,7078.104393
290.106683,934,7099.789636
289.911906,935,7149.594595
291.947325,911,7165.480333
288.363789,943,7219.631506
-13.682124,312,7222.371863
291.870695,937,7245.15364
286.951283,978,7301.917114
291.004318,927,7317.616457
288.773963,949,7374.04687
292.886642,895,7388.24498
292.319217,907,7401.66347
290.301413,924,7455.717486
292.923567,903,7470.108838
291.124062,897,7522.5886
291.381663,913,7538.062654
287.971964,923,7594.458612
291.617536,924,7610.946194
292.480258,904,7668.102128
289.645728,936,7683.384285
291.619027,906,7705.13257
292.128031,900,7753.806565
294.591995,882,7769.066684
293.395655,885,7824.035676
292.387216,892,7839.939461
289.186668,928,7895.1313
288.63095,935,7909.813745
295.902793,849,7930.252489
291.994584,894,7976.978787
291.27331,911,8000.834936
291.08017,909,8047.851657
-25.201171,288,8050.875263
293.068778,871,8072.438562
291.600285,907,8122.843201
291.690656,892,8146.331077
293.321026,881,8198.437003
292.172529,877,8220.823896
292.039533,873,8268.165986
289.968657,893,8282.32415
292.862438,870,8302.082013
292.437699,882,8353.327948
293.959064,867,8371.814657
291.785267,878,8422.368324
294.171886,864,8438.681448
292.061339,886,8495.968658
292.075452,895,8511.4624
289.693844,907,8535.749446
294.595733,865,8590.424123
291.056298,903,8608.287911
160.972674,796,8667.93111
292.20817,888,8684.797623
291.192173,893,8746.779434
294.644905,862,8763.531105
293.853757,885,8779.893495
291.689595,879,8840.00973
292.11794,870,8857.454023
