#{"t_start": 1764215627.4892426, "env_id": "BipedalWalker-v3"}
r,l,t
-99.578808,78,5.002172
-100.550853,61,6.813596
-99.100066,71,8.932979
-107.253271,1600,57.947344
-102.588661,72,61.123938
-121.137714,77,63.393202
-110.238151,1600,163.589843
-101.874896,1600,269.679678
-113.085328,48,271.121515
-108.424036,95,274.055821
-108.665554,1600,403.536616
-99.571044,1600,531.307338
-117.508834,77,533.682111
-101.239287,1600,626.224114
-99.794132,67,677.960023
-104.883909,54,679.647331
-100.006789,1600,771.311334
-71.956877,1600,899.217484
-62.597118,1600,1040.947571
-58.241871,1600,1164.955028
-55.892453,1600,1256.415817
-37.744969,1600,1383.774416
-66.63391,1600,1518.927299
-86.07258,1600,1604.601224
-73.807547,1600,1744.588059
-63.813089,1600,1888.191353
-125.752577,91,1891.029697
-103.748679,126,1894.930769
-65.981775,1600,2021.014618
-114.911335,51,2037.462475
-58.487955,1600,2113.876444
-38.116506,1600,2255.519036
-41.341473,1600,2382.790262
-37.289858,1600,2515.069011
-15.809729,1600,2633.416823
-5.683439,1600,2702.983079
-18.062576,1600,2809.144013
-9.83767,1600,2912.894922
-8.01947,1600,3018.796241
-164.969441,578,3051.80455
-113.077968,95,3054.634817
-125.670078,94,3060.72175
-114.76066,96,3066.567651
-134.852624,142,3073.409791
-104.301176,150,3077.885104
-55.994452,1600,3132.751299
-114.146315,55,3134.440943
-121.327812,98,3137.321987
-47.495392,1600,3244.308223
-101.61537,93,3247.200612
-43.459927,1600,3351.263266
-45.479544,1600,3470.788111
-40.852264,1600,3606.019928
-29.112376,1600,3682.920598
-26.171297,1600,3822.450425
-14.93663,1600,3949.882459
-11.881735,1600,4091.811349
-3.322801,1600,4217.673619
2.480911,1600,4307.157252
17.088755,1600,4434.012587
-31.680764,1600,4608.38252
-108.61864,80,4611.343902
-113.80327,41,4612.864976
-125.120074,94,4620.149927
-127.796655,111,4628.331158
-130.252641,94,4636.089317
-114.446568,96,4643.745867
-108.912497,396,4658.960607
-57.987095,1020,4729.853492
-45.154277,1086,4865.305342
-37.130533,849,4915.210998
-77.592625,438,4945.741709
-65.906274,581,5048.51187
-48.43107,705,5092.920828
-107.376753,641,5133.599825
-47.939513,1108,5265.737167
113.828554,1600,5414.603485
-60.69671,1123,5489.882477
117.481939,1600,5660.135179
-42.670288,839,5708.241246
135.339714,1600,5882.046389
153.738479,1600,6038.588849
150.668372,1600,6211.777345
144.564956,1600,6308.189473
-114.068861,75,6372.027082
180.555793,1600,6486.029819
-87.15627,646,6594.75375
-111.417976,57,6600.640909
-114.616347,66,6603.174491
-112.96134,74,6609.735125
-130.25578,151,6619.401569
-110.790888,53,6621.402971
-115.286873,43,6626.905667
-110.549317,97,6634.443753
-112.606103,102,6638.257643
-129.196395,162,6651.688003
-112.348405,49,6653.563245
-116.96053,44,6655.249396
-109.673248,84,6662.579118
-116.160461,51,6664.663553
-113.371739,40,6670.301068
-102.362179,188,6677.835273
-97.827846,73,6680.733644
-91.902749,160,6687.030848
-87.100972,483,6722.884188
-106.391973,112,6727.073177
-71.54245,407,6760.302094
-88.377088,392,6792.599569
-106.942645,352,6868.071732
-83.339664,311,6895.879046
-109.357278,79,6898.768576
-111.863317,186,6905.716221
-90.582822,223,6914.150733
-92.124968,322,6944.031947
-83.759553,362,6957.733642
-55.248255,512,7057.650041
-80.375894,322,7087.851373
-40.22967,928,7140.766207
-82.549078,213,7164.905936
-101.91278,163,7171.405721
-94.290069,366,7246.485378
-84.273857,358,7278.0675
-59.70274,899,7331.2565
-107.195961,199,7356.728702
-94.805509,212,7364.684832
112.284387,1600,7542.371362
-23.659961,1404,7692.008045
143.590029,1600,7849.677373
-61.457379,1060,7927.134423
173.991036,1600,8102.04354
171.903387,1600,8258.277645
152.778317,1600,8372.16701
163.114333,1600,8529.738634
-52.511344,638,8631.978344
-113.83673,42,8633.554403
-114.664915,42,8638.78589
-112.59047,50,8640.766016
-114.479552,41,8642.41059
-114.225862,60,8648.504666
-118.193261,45,8650.247948
-115.195817,42,8655.558015
-115.741276,50,8657.490832
-115.593493,45,8659.32057
-122.097038,213,8674.952496
-112.768487,58,8677.167937
-116.640018,44,8682.562269
-116.794313,49,8684.464929
-111.825964,58,8690.644335
-117.804243,44,8692.343289
-113.909536,42,8693.980723
-116.752055,51,8699.595137
-116.324365,44,8701.438384
-117.421401,46,8703.254344
-113.716369,41,8708.85355
-121.09629,63,8711.323008
-112.165914,52,8717.282223
-98.100796,169,8742.039792
-55.137128,664,8785.402925
-118.935579,74,8788.204504
-61.600962,1003,8844.67042
-100.167066,73,8865.120219
-70.249832,384,8940.201336
-46.770484,957,9012.999353
15.250697,1186,9154.319617
-109.501,260,9164.112979
145.807149,1600,9339.48037
161.960872,1600,9435.439298
-98.173983,308,9523.508211
177.648582,1600,9619.910362
190.181535,1600,9798.71709
132.861985,1600,9959.331322
175.631173,1600,10139.398199
209.258055,1600,10236.62528
184.525172,1600,10410.893118
202.692542,1600,10589.824627
29.146269,1046,10710.972228
-117.008342,42,10712.574856
-117.438763,52,10718.443393
-115.062186,41,10720.073777
-116.422014,43,10721.803917
-115.566085,42,10727.371586
-114.42215,49,10729.271864
-118.757014,45,10731.019692
-115.830408,40,10736.419785
-113.438233,47,10738.266771
-113.488969,43,10739.930366
-120.458827,44,10745.383953
-116.063418,42,10747.028065
-120.59615,47,10748.911555
-113.68395,50,10755.224252
-119.316955,44,10756.996558
-120.431261,47,10762.801598
-118.908321,44,10764.59564
-113.364961,39,10766.190894
-113.501341,45,10772.105934
-113.200778,37,10773.611732
-113.275594,42,10775.315168
-119.308495,43,10777.059943
-118.647224,44,10782.609786
-119.899832,45,10784.425793
-119.494087,45,10790.226614
-115.074475,38,10791.748394
-117.581639,42,10793.40975
-121.090982,45,10799.072493
198.94645,1600,10914.147924
177.199398,1600,11072.07451
219.020067,1600,11249.903835
217.66427,1600,11411.766904
238.599184,1600,11528.532203
220.957089,1600,11686.012356
199.297842,1600,11869.995522
219.394734,1600,12046.499766
256.014495,1600,12204.515341
-44.861008,652,12247.847372
260.300874,1600,12446.542449
260.316655,1600,12544.153584
267.982735,1600,12739.059338
-2.674482,693,12845.221317
-118.815505,44,12846.867086
-115.58322,41,12852.165525
-117.988992,40,12853.727857
-119.691564,45,12855.500975
-117.505767,41,12860.887226
-119.782117,43,12862.560294
-120.779223,43,12864.303609
-119.00227,44,12869.870243
-120.254908,45,12871.649784
-119.783554,44,12873.405709
-121.060909,44,12878.696913
-118.47052,44,12880.455929
-121.398124,44,12882.186954
-121.334179,44,12887.681839
-118.749941,43,12889.290524
-120.300289,43,12890.889077
-121.2614,43,12896.183393
-120.011382,44,12897.912495
-121.320894,44,12899.619175
-120.447666,45,12905.323694
-121.818642,45,12907.107036
-120.621753,44,12908.885859
-120.609181,44,12914.626493
-119.857799,43,12916.379091
-120.767618,44,12922.121742
-120.884486,45,12923.991157
-121.79823,43,12925.724095
-121.227873,43,12931.535108
253.815747,1600,13028.149688
37.554793,939,13161.177912
266.890385,1600,13339.060365
265.358249,1600,13436.636539
263.373692,1600,13614.684566
263.388581,1600,13783.216452
280.697649,1541,13956.989597
270.038188,1600,14053.592671
281.170207,1584,14227.838634
278.789214,1589,14395.086024
270.260616,1600,14585.621737
281.937202,1535,14680.965169
246.19598,1600,14875.538107
-22.334396,558,14999.877331
-121.233032,45,15001.977353
-118.917248,43,15008.586985
-121.676433,44,15010.672467
-121.325751,44,15012.818042
-121.518356,45,15019.551372
-120.007641,45,15021.660733
-119.20672,44,15023.770091
-120.576549,44,15030.535891
-120.841441,44,15032.668499
-122.082645,43,15039.478602
-116.285422,39,15041.354395
-121.987875,44,15043.456892
-121.441268,44,15045.628155
-120.841802,44,15052.534413
-120.005426,44,15054.651463
-121.922834,43,15061.490178
-117.31161,40,15063.391597
-121.53623,43,15065.434849
-121.553432,43,15072.079171
-122.456064,43,15074.0691
-122.403477,44,15076.126361
-121.724572,44,15082.925603
-122.02334,43,15084.999468
-121.402463,43,15087.06313
-121.559926,44,15093.951183
-122.02468,43,15096.008529
-121.300213,44,15098.155551
-121.494968,43,15104.920029
242.998568,1600,15229.849747
237.760749,1600,15456.532365
233.447522,1600,15651.03895
227.732947,1600,15894.93345
-113.371672,37,15896.678885
261.560719,1600,16056.689122
274.890576,1600,16252.050656
133.052641,1503,16451.988941
277.564156,1516,16667.706164
278.204499,1547,16786.289537
-114.861237,50,16788.583801
285.500085,1427,16997.221874
278.617249,1527,17186.3179
283.902525,1412,17370.451116
281.400071,1467,17505.299111
-14.618503,428,17596.462483
-122.706298,43,17598.469807
-117.345474,40,17600.333769
-124.021024,42,17606.98172
-123.578273,42,17609.005591
-123.203653,44,17611.108538
-123.609371,43,17617.967508
-123.740158,44,17620.152773
-123.391857,43,17622.199022
-122.698568,42,17628.897286
-122.973814,42,17630.907621
-123.390075,42,17632.945021
-123.406798,42,17639.570041
-122.910891,41,17641.488174
-122.404626,42,17643.428738
-124.141744,43,17649.92232
-124.466478,41,17651.815191
-122.14281,41,17653.774549
-124.350125,41,17660.382085
-123.117759,42,17662.387833
-123.883113,42,17664.436191
-123.093139,41,17670.904432
-124.099707,40,17672.793805
-123.912997,40,17674.696212
-123.639908,42,17681.278291
-122.558441,42,17683.296579
-123.341428,42,17685.330299
-123.936786,42,17692.099927
-124.371427,40,17694.037188
-124.906951,42,17696.014263
-123.891419,42,17702.566253
220.538938,1600,17852.053846
271.152903,1600,18095.52043
196.016884,1600,18316.194326
261.049398,1600,18559.532804
250.988789,1600,18692.82591
277.70639,1544,18932.700781
277.658333,1561,19149.595437
276.291801,1548,19384.299178
278.326737,1539,19512.151154
280.008082,1488,19743.779138
281.210318,1520,19953.327613
284.806236,1421,20159.48851
286.370106,1395,20284.89853
-37.614217,508,20421.396991
-123.556974,42,20423.714388
-122.306891,43,20431.934739
-123.810096,42,20434.381314
-123.668389,41,20439.332714
-123.675798,42,20456.492224
-124.79442,41,20461.339432
-124.471143,41,20463.697908
-124.126503,41,20471.447826
-125.446734,42,20473.813255
-124.906759,41,20476.148401
-125.087154,41,20483.886963
-124.478035,40,20486.094861
-123.43624,41,20488.423214
-123.632587,41,20490.673352
-123.509009,42,20498.533542
-123.076901,40,20500.830894
-124.469026,41,20503.117408
-124.454715,40,20510.748767
-124.014135,41,20513.076865
-123.116164,40,20515.335609
-124.161001,41,20523.266317
-124.473926,41,20525.61203
-124.523047,40,20527.868673
-125.021484,41,20535.601537
-123.395394,40,20537.89125
-124.341899,41,20540.245993
-124.032788,41,20548.072948
-123.980014,42,20550.40276
-123.553746,41,20552.675602
-123.823273,41,20560.594144
276.759316,1527,20704.564642
292.76046,1302,20903.928863
281.562119,1486,21107.265863
-20.015134,486,21154.146625
285.514572,1372,21356.209994
286.593475,1397,21470.915518
290.335878,1325,21665.868354
284.792824,1451,21888.093521
294.252775,1234,21995.129405
288.698104,1347,22196.38089
292.680158,1304,22305.525719
286.863721,1438,22508.033232
285.115781,1391,22711.189102
290.582025,1317,22841.72362
-113.327157,42,22843.971726
283.192411,1486,23047.888469
-4.083022,640,23188.740534
-125.288154,45,23191.234857
-124.745095,40,23198.680534
-124.497539,41,23200.979192
-123.997616,42,23203.293696
-123.91675,41,23211.138386
-123.791934,41,23213.443637
-120.466331,42,23215.800653
-125.662481,45,23223.794703
-123.773449,40,23226.028477
-123.718874,40,23228.259829
-122.529123,41,23236.042931
-122.067305,41,23238.400084
-122.493168,40,23240.607869
-124.414677,41,23248.310323
-123.382707,40,23250.536285
-124.832437,40,23252.79415
-123.878268,41,23260.525523
-124.522682,40,23262.771704
-124.504537,39,23264.985409
-123.698053,41,23272.894844
-124.025971,42,23275.294667
-125.080222,40,23277.620999
-124.796171,40,23279.905804
-124.673565,40,23287.502446
-124.266784,39,23289.731801
-124.21726,39,23291.952469
-123.965305,40,23299.635075
-124.657119,40,23301.945551
-123.23718,41,23304.248596
-123.913905,40,23311.884657
282.589706,1504,23433.720309
285.661685,1378,23655.739628
30.712797,737,23714.818003
287.59387,1456,23919.010968
284.356229,1522,24146.399047
286.199398,1490,24265.260664
283.846137,1501,24455.806893
291.469973,1389,24643.604595
287.147754,1481,24817.816278
282.072607,1557,24921.636293
284.992723,1492,25108.711565
101.689684,1187,25270.992534
286.787485,1473,25374.512954
285.688932,1536,25571.795079
23.783629,795,25698.139565
-124.69792,40,25700.000829
-123.822623,41,25701.912135
-113.651946,46,25708.639313
-124.779665,39,25710.48517
-125.015583,40,25712.446698
-123.869614,40,25719.067917
-125.946862,41,25720.995039
-120.711523,44,25723.068444
-125.532349,40,25729.752019
-125.539418,41,25731.744704
-125.395688,41,25733.687235
-123.918462,40,25740.023216
-125.131669,41,25741.936272
-122.156827,41,25743.833881
-125.348522,40,25750.270041
-124.876679,39,25752.106497
-125.430419,40,25753.917885
-125.324882,40,25760.408653
-124.121414,40,25762.334766
-124.486165,40,25764.249167
-125.458663,40,25766.181686
-125.486049,39,25772.702779
-125.675411,41,25774.676363
-125.333893,39,25776.529182
-126.360495,40,25783.044044
-127.161315,40,25784.987619
-125.765195,40,25786.935776
-126.069658,40,25793.620155
-125.869308,40,25795.518117
-125.849561,40,25797.41162
-120.456427,42,25804.089052
288.207732,1376,25899.068896
291.311784,1310,26067.348471
294.024368,1246,26157.896598
284.105246,1474,26332.935476
289.234263,1363,26513.653223
289.143551,1338,26608.774721
288.395595,1349,26776.380243
295.217873,1282,26940.597017
291.539469,1299,27032.602312
291.24708,1303,27198.819572
293.529401,1271,27349.549926
290.817379,1333,27420.651167
293.068406,1250,27546.27211
293.66145,1249,27677.297983
293.480659,1271,27740.030488
81.361414,792,27842.647757
-121.721749,42,27844.28113
-122.440646,40,27845.819132
-122.282493,41,27851.067082
-121.572623,42,27852.611223
-122.758996,41,27854.145992
-122.182787,41,27859.259965
-121.999528,42,27860.828802
-122.02114,41,27862.346267
-119.311649,42,27867.341424
-121.920084,42,27868.949553
-122.074741,41,27870.532666
-120.836702,42,27875.821672
-121.225109,41,27877.371358
-121.182833,43,27879.034691
-122.151064,41,27884.310603
-121.975816,41,27885.889637
-122.172282,40,27887.426239
-118.172389,58,27893.390945
-122.038413,40,27894.880152
-122.575306,40,27896.384552
-122.234358,41,27901.633279
-122.291214,41,27903.161692
-122.409453,40,27904.73842
-121.882112,41,27910.0917
-121.829488,41,27911.688996
-121.451782,41,27913.317265
-122.040982,42,27918.70242
-122.413607,41,27920.332961
-122.845711,40,27921.944561
-122.215906,42,27927.273732
212.285836,1600,28015.393718
225.433605,1600,28168.871928
239.013271,1600,28310.424175
247.737143,1600,28466.220031
278.390162,1474,28544.273091
287.846094,1299,28677.410814
282.006401,1370,28810.815531
283.483941,1331,28884.400591
283.786101,1376,29025.82925
289.875173,1281,29152.629122
288.988952,1288,29224.719418
292.899915,1234,29351.710593
286.229068,1350,29420.916569
289.967902,1326,29550.808088
66.454579,804,29650.920126
-115.125818,36,29652.308431
-120.34848,77,29658.942401
-119.204575,42,29660.535022
-120.069969,67,29666.836995
-121.011639,68,29669.495652
-120.825167,59,29675.581352
-120.904122,64,29678.236484
-121.245839,62,29684.289223
-121.185908,59,29686.704062
-121.559435,75,29693.635549
-117.113203,58,29696.000718
-121.486202,59,29702.364742
-120.673415,58,29704.722853
-124.336872,83,29711.581562
-116.454102,56,29713.953807
-120.90995,58,29720.019057
-119.297143,57,29722.23483
-121.675657,61,29728.303411
-119.476931,54,29730.420728
-121.039802,58,29732.652754
-118.189816,70,29739.089168
113.614021,1273,29802.692257
278.798756,1412,29943.376595
283.888047,1350,30072.04263
279.219283,1412,30145.141142
281.291858,1430,30276.745502
275.241193,1514,30419.910203
280.485597,1433,30493.029345
281.65287,1429,30631.815038
272.038639,1542,30772.473239
281.710782,1380,30840.777729
281.309799,1367,30979.594006
288.863916,1265,31105.141227
287.936928,1268,31164.286323
287.392533,1293,31287.807902
100.689325,1100,31402.584394
-122.739904,46,31404.327649
-121.046071,44,31410.134216
-122.495215,49,31412.05131
-120.515239,45,31413.813137
-113.273219,40,31419.13068
-113.740677,39,31420.683846
-119.974294,46,31422.421265
-124.018687,42,31428.131523
-116.980382,42,31429.809831
-120.619022,45,31431.51652
-113.992692,40,31436.984238
-115.548904,40,31438.69729
-113.571569,40,31440.194506
-122.334615,43,31445.753017
-114.165248,40,31447.317729
-123.051328,41,31448.912283
-117.969575,43,31454.314643
-123.17584,42,31455.977089
-115.141299,42,31457.578157
-121.142561,43,31463.318954
-120.413974,45,31465.142544
-116.863161,43,31466.769432
-122.439734,43,31472.333822
-121.973254,43,31473.996983
-124.362509,42,31475.756355
-120.377426,46,31481.531783
-122.111584,44,31483.264072
-122.672907,44,31484.97396
-113.019035,40,31490.459417
289.42967,1213,31547.200093
291.80685,1173,31667.289784
290.584586,1152,31727.094246
290.538177,1174,31847.868054
292.552612,1136,31895.529767
293.04993,1157,32009.502892
293.504984,1143,32060.675406
288.989583,1213,32179.477531
289.092672,1197,32293.364372
293.95687,1118,32348.039731
294.667466,1133,32461.182651
294.05582,1125,32507.969105
295.352243,1116,32621.88296
294.136907,1128,32677.136292
295.974217,1082,32788.039566
295.11697,1101,32834.276221
295.610167,1092,32951.164562
152.131726,1053,33063.809438
-115.057805,43,33065.431204
-116.368992,44,33067.085364
-116.089499,44,33072.581789
-116.552378,43,33074.222804
-117.549382,45,33079.931948
-117.616186,44,33081.666992
-116.48489,43,33083.325815
-122.497,45,33089.066038
-122.253805,45,33090.792735
-122.528305,45,33092.54606
-120.620803,46,33098.177748
-116.616228,44,33099.82881
-121.569245,46,33101.640701
-114.860213,42,33107.14365
-122.751594,45,33108.847292
-122.553661,46,33110.575276
-122.039493,46,33116.278863
-116.636898,42,33117.900898
-122.619394,45,33119.715638
-122.194858,46,33125.428933
-122.58913,45,33127.20587
-122.544773,46,33129.039701
-121.950372,46,33134.764279
-122.556919,45,33136.477545
-117.764574,42,33142.10996
-122.499833,44,33143.859814
-122.219774,45,33145.648835
-121.517801,46,33151.563936
291.519792,1181,33208.275154
294.91681,1113,33318.840138
290.724648,1206,33380.797678
293.448645,1143,33498.119032
292.863564,1136,33548.355212
294.828292,1131,33664.02945
295.826108,1124,33721.751933
284.075202,1298,33842.823649
287.815878,1243,33966.08942
290.878756,1160,34024.254626
297.134278,1071,34131.10349
294.203504,1097,34186.512845
295.730437,1083,34299.727174
291.883039,1158,34352.850994
291.208567,1170,34475.284269
297.360881,1082,34526.512105
295.097581,1086,34642.125018
139.951706,1031,34758.283748
-118.091976,44,34759.957478
-123.408695,43,34761.616248
-112.22352,41,34767.023002
-123.731619,43,34768.649436
