#{"t_start": 1764215627.4914644, "env_id": "BipedalWalker-v3"}
r,l,t
-121.035804,129,6.518153
-112.530184,40,7.70747
-106.743993,70,9.829024
-99.467743,110,13.150997
-100.793857,56,14.809305
-103.01836,71,16.927323
-99.977408,63,18.766349
-106.390316,55,20.347978
-102.767121,77,23.710875
-115.705951,1600,122.921792
-111.564436,100,125.90624
-113.043294,63,127.743668
-102.777019,88,131.58201
-110.011543,90,134.236642
-103.56146,1600,233.724471
-118.476335,89,236.321093
-107.702774,1600,293.741045
-131.386619,109,296.949436
-98.119422,1600,439.999168
-87.493466,1600,567.558861
-106.351232,50,569.033183
-111.09805,71,571.12758
-106.17843,90,589.161897
-93.442843,1600,715.639688
-84.112966,1600,858.994968
-71.690543,1600,936.245461
-92.058117,1600,1077.316837
-102.65565,72,1079.456192
-40.095254,1600,1203.385396
-51.948073,1600,1344.882644
-55.751753,1600,1475.649262
-88.734248,1600,1566.082401
-76.660976,1600,1706.032748
-74.09228,1600,1784.180603
-112.463097,54,1785.795412
-68.501692,1600,1927.655523
-62.15224,1600,2054.567438
-48.489624,1600,2196.479251
-54.779308,1600,2288.394324
-35.488671,1600,2413.870353
-29.891647,1600,2543.500218
-11.660912,1600,2656.659478
-18.836101,1600,2774.15103
-6.77475,1600,2829.546175
3.10807,1600,2931.285924
-38.318159,1600,3051.841325
-112.2284,90,3054.514042
-119.561717,105,3060.934638
-130.766362,117,3067.364893
-112.88379,58,3069.021678
-124.463591,114,3075.12685
-103.885858,53,3076.720833
-120.737867,71,3078.826468
-54.353976,1600,3133.686577
-123.272344,97,3136.612192
-121.997186,92,3139.335919
-121.048641,84,3192.39538
-48.254961,1600,3249.013762
-102.206924,78,3251.441674
-47.878032,1600,3362.756228
-41.806441,1600,3474.873405
-39.777319,1600,3610.038312
-109.957577,64,3611.942821
-32.252952,1600,3738.848451
-18.191826,1600,3828.472383
-17.591682,1600,3970.535491
-16.941616,1600,4097.574702
5.030387,1600,4236.269052
10.031611,1600,4313.112933
17.208003,1600,4454.972502
-143.462992,1371,4603.513732
-110.217116,154,4613.058221
-115.125888,57,4618.948927
-112.587551,89,4626.196858
-123.924053,70,4628.950901
-127.474116,96,4636.803741
-106.874837,92,4644.304424
-86.914356,543,4682.816276
-93.367131,131,4687.711941
-99.535955,196,4695.189427
-64.451239,863,4756.162039
-84.344563,621,4860.221533
-110.599119,132,4865.228369
-54.156546,1193,4942.097846
-73.904059,495,5041.439213
-92.104308,577,5063.566546
-107.731844,111,5085.533312
-58.867994,797,5131.858469
-98.063001,314,5144.125843
-100.568125,139,5168.058921
-96.723036,274,5238.687434
-103.802619,291,5260.868927
-91.71391,112,5264.930549
-42.440515,1121,5321.450311
123.601324,1600,5489.016422
148.125144,1600,5659.261995
148.245421,1600,5812.853854
111.448938,1600,5927.088928
154.872411,1600,6084.276323
178.398057,1600,6258.015916
181.767258,1600,6414.714022
44.430098,1541,6593.211514
-110.909307,78,6599.836176
-113.851019,81,6602.948144
-112.575857,80,6609.742342
-116.832035,42,6611.34001
-113.442675,81,6618.331687
-114.074135,86,6621.597352
-111.600874,59,6627.744239
-118.698626,50,6629.60325
-112.965136,42,6635.043262
-113.179207,67,6637.549237
-113.723116,42,6642.67808
-112.535485,70,6645.26682
-116.163503,51,6647.205169
-112.777808,92,6654.51479
-113.556652,68,6661.123739
-115.454708,41,6662.83194
-112.22728,70,6669.673758
-126.674431,84,6673.07078
-103.776101,174,6680.020612
-98.045067,116,6684.579459
-81.870069,489,6720.699355
-85.100966,236,6729.610732
-103.749059,109,6751.632192
-101.37209,191,6758.765969
-94.431648,125,6763.61113
-76.10692,392,6795.858886
-92.652031,157,6863.94823
-124.342085,236,6872.874209
-81.502653,307,6900.387196
-91.351078,289,6911.252785
-104.023571,131,6916.263146
-91.349355,166,6940.343445
-74.902832,396,6955.132595
-107.761836,368,6987.264731
-133.128267,174,7056.21344
-82.350863,231,7082.879169
-90.622775,410,7098.53893
-75.756888,425,7132.368303
-99.936449,103,7136.299761
-84.644626,277,7162.770528
-70.24405,373,7177.57982
-85.981603,220,7246.868768
-85.920262,741,7311.209849
-64.456055,355,7325.323835
-17.133607,1043,7462.119303
-125.198392,250,7471.890587
-19.622804,1547,7586.441622
145.432784,1600,7744.942658
156.525613,1600,7919.959852
161.002593,1600,8076.680701
169.111469,1600,8251.201327
165.971101,1600,8365.139229
188.132603,1600,8522.700649
-19.813692,853,8633.065083
-115.58375,44,8638.361508
-111.479514,58,8640.641365
-113.941573,47,8642.538547
-111.798826,49,8648.182857
-116.284396,43,8649.85937
-113.514305,52,8655.564523
-114.427702,53,8657.620265
-113.063535,50,8659.658015
-114.482825,40,8664.874691
-114.26262,38,8666.299531
-118.243754,45,8668.030215
-118.947426,44,8673.377187
-114.907227,48,8675.350249
-113.821514,50,8677.253384
-113.917102,41,8682.521121
-114.577444,44,8684.229983
-118.117499,43,8685.900995
-112.422237,39,8691.351153
-115.181938,52,8693.347794
-118.561361,45,8695.111192
-116.164242,41,8700.377603
-118.95373,48,8702.346267
-118.745006,45,8708.087569
-116.912767,45,8709.875645
-113.064354,41,8711.516014
-94.748102,250,8743.304338
22.332751,1571,8839.372806
-131.679026,116,8843.874988
-105.034241,92,8865.040982
-98.883741,73,8928.205086
-79.821327,310,8940.08894
-60.262421,760,8986.940999
-95.410286,131,9010.399082
105.768866,1600,9167.242856
-65.944386,492,9204.28336
-75.434492,646,9247.46828
-27.645792,1131,9385.33672
122.163004,1600,9539.865058
150.835545,1600,9717.23656
168.966619,1600,9815.664758
143.469736,1600,9994.928076
178.973322,1600,10174.880006
215.405553,1600,10331.708497
211.993092,1600,10447.244444
214.570088,1600,10607.215118
-46.975188,620,10711.745569
-116.626543,41,10713.316332
-113.892461,54,10719.277401
-114.805718,42,10720.968632
-119.281496,44,10722.719607
-109.380665,68,10729.278198
-114.592452,40,10730.82917
-116.545425,44,10736.37883
-118.644691,45,10738.14161
-115.850873,42,10739.764335
-115.28323,39,10745.03462
-113.662069,46,10746.828743
-116.92415,42,10748.498306
-115.649446,42,10754.469687
-115.880698,42,10756.198992
-116.730996,41,10757.845567
-118.885915,43,10763.496837
-117.108942,41,10765.179553
-119.04963,44,10766.984556
-118.868995,44,10772.843844
-117.78979,42,10774.544623
-117.876593,42,10776.247376
-119.335042,44,10781.83937
-115.532945,39,10783.38166
-120.637393,44,10785.153674
-117.847215,44,10790.940665
-119.372256,44,10792.685224
-118.719272,44,10794.385111
-116.998761,41,10799.883115
223.041655,1600,10915.018536
228.55157,1600,11072.908625
216.488875,1600,11250.807802
-53.789423,721,11295.99716
241.932393,1600,11476.371271
248.843949,1600,11633.969296
256.031916,1600,11819.64138
249.170618,1600,11916.331589
235.009473,1600,12092.582645
256.638822,1600,12251.293542
259.876406,1600,12450.014984
246.416053,1600,12547.318421
262.77277,1600,12742.453936
-7.667928,616,12845.710507
-118.619594,43,12847.3306
-119.339858,47,12852.873789
-121.068731,45,12854.64231
-117.263362,42,12860.07474
-119.311003,44,12861.791085
-120.060744,44,12863.509634
-120.813359,44,12869.136761
-120.659171,44,12870.850141
-119.262076,45,12872.665084
-115.918503,39,12877.784711
-120.654192,45,12879.54421
-119.02865,44,12881.314326
-120.241017,44,12886.782758
-117.437154,39,12888.297073
-121.891658,44,12889.929808
-121.887805,43,12895.138264
-122.156834,44,12896.896501
-120.497701,43,12898.588311
-120.620088,44,12904.171952
-117.490749,42,12905.892484
-121.952994,42,12907.568047
-121.914677,43,12913.232885
-120.043469,43,12915.011467
-120.54949,43,12916.753625
-121.621632,44,12922.521456
-121.899058,43,12924.287848
-121.622387,42,12925.984337
-120.496485,43,12931.775843
258.991332,1600,13028.417262
270.41729,1600,13204.463192
276.113238,1600,13382.354939
270.17989,1600,13542.070038
281.424673,1540,13663.708545
260.309253,1600,13824.099408
279.2192,1568,13998.666068
280.012664,1572,14155.345359
284.616939,1510,14265.57771
282.683608,1524,14437.111751
252.21449,1600,14621.739225
150.827355,1378,14771.34609
144.582527,1260,14874.152879
-91.660435,362,14890.99613
-80.699904,225,14999.829492
-121.263386,45,15001.930152
-121.456323,44,15008.59432
-121.601094,44,15010.680717
-119.150847,45,15012.872973
-121.250321,46,15019.648395
-122.05201,44,15021.713285
-121.682119,45,15023.871692
-121.832244,42,15030.543597
-120.72613,44,15032.680893
