#{"t_start": 1764215627.4981916, "env_id": "BipedalWalker-v3"}
r,l,t
-97.046499,1600,51.764476
-105.051297,80,54.127204
-104.120007,109,57.330067
-128.124379,109,61.589786
-101.885975,1600,161.776285
-123.363155,102,164.816146
-121.195768,1600,270.892622
-98.648946,1600,384.298916
-103.061208,62,386.19089
-95.853577,1600,530.087115
-85.630189,1600,622.915576
-130.913373,123,626.416307
-86.573648,1600,753.044268
-75.03805,1600,895.829543
-59.940238,1600,1022.82522
-62.806525,1600,1161.573719
-48.932381,1600,1252.979522
-110.510986,64,1254.917667
-35.019604,1600,1382.27503
-69.655578,1600,1517.479849
-79.795631,1600,1603.078962
-101.681979,98,1605.99246
-115.87594,79,1622.656506
-75.864972,1600,1748.345849
-61.744521,1600,1892.123943
-70.676856,1600,2018.224657
-52.099876,1600,2109.678184
-49.022172,1600,2236.796615
-37.729341,1600,2378.529442
-22.895492,1600,2510.882542
-33.946465,1600,2579.936335
-18.251276,1600,2698.757858
-0.533022,1600,2805.045516
-7.481887,1600,2908.653394
-9.217815,1600,3011.597067
-107.788391,62,3013.424026
-113.807929,86,3018.978944
-113.138598,108,3025.452545
-159.148871,540,3054.068352
-114.207425,89,3060.007285
-90.38992,1600,3116.805146
-101.562384,157,3125.095236
-42.958327,1600,3228.970294
-101.394784,69,3231.016971
-101.442362,74,3233.18857
-101.145397,102,3236.191761
-100.315075,89,3242.027664
-100.998521,89,3244.780885
-118.105609,62,3246.699859
-124.540595,163,3251.752739
-56.187741,1600,3363.069332
-98.333623,101,3366.081367
-96.943468,84,3368.675257
-99.853901,98,3371.691226
-115.867175,64,3373.689341
-131.387098,119,3377.362038
-42.901681,1600,3501.435882
-24.907087,1600,3639.804959
-30.784328,1600,3765.842673
-27.149328,1600,3854.178947
-14.696951,1600,3982.520288
-1.981015,1600,4122.292266
4.990983,1600,4248.602829
7.601685,1600,4390.552819
25.713935,1600,4468.568773
-160.09724,851,4595.769689
-113.432271,57,4601.630035
-124.482552,85,4608.620956
-114.55838,53,4610.571847
-112.519452,54,4612.565417
-112.701158,78,4619.274466
-114.786781,57,4621.445787
-111.572929,73,4628.147919
-116.009795,42,4629.770202
-124.460042,91,4637.432
-128.22478,93,4644.996744
-87.260194,352,4658.490011
-101.258775,322,4688.354333
-61.546584,794,4733.049526
-88.28315,286,4757.573998
-119.90196,116,4761.966477
-107.1181,49,4763.786924
-125.078987,195,4833.511344
-80.701713,309,4863.477605
-118.675483,127,4868.251148
-101.234629,112,4872.392751
-65.430263,929,4939.363879
-56.128031,742,5048.286302
-94.27534,281,5058.998086
-108.218251,163,5083.007334
116.969825,1600,5239.01415
103.346777,1600,5337.890543
121.201777,1600,5492.217266
112.265486,1600,5662.513422
-35.513481,1120,5797.329978
145.825894,1600,5895.111752
149.208105,1600,6069.270535
159.899835,1600,6224.82168
157.434695,1600,6399.703482
183.653902,1600,6496.247953
-113.924602,523,6603.974903
-116.483365,197,6619.138811
-114.808843,50,6621.029001
-111.944907,65,6627.382644
-116.970781,44,6629.058399
-117.510925,58,6635.088751
-116.98885,45,6636.771012
-121.047818,45,6638.45985
-115.49927,47,6643.752805
-111.509944,62,6646.05003
-119.557547,44,6651.537079
-118.336646,45,6653.263468
-112.150862,86,6660.544118
-119.078422,49,6662.540798
-119.884336,44,6664.367435
-113.706064,40,6669.982495
-96.036022,347,6683.812316
-106.836386,308,6712.984842
-84.365338,228,6721.775788
-48.265905,679,6765.306471
-94.971443,121,6769.868681
-131.065818,160,6793.361057
-105.600311,172,6799.878498
-107.243172,123,6866.683776
-119.219015,188,6873.812557
-97.278436,474,6907.597282
-66.525493,357,6938.96869
-87.578711,171,6945.202913
-100.813013,86,6948.370364
-102.677538,77,6951.337403
-86.353048,261,6979.612983
-49.492586,866,7092.600571
-90.104139,403,7125.553266
-117.344221,209,7133.539784
-107.125787,93,7137.101968
-58.248513,534,7173.842438
-86.90125,305,7246.496821
-58.165928,435,7280.969167
-40.128462,841,7331.993538
-70.157984,671,7393.684531
96.462464,1600,7553.071451
132.965654,1600,7729.000109
103.370993,1600,7885.208168
150.325677,1600,8061.256624
130.282821,1600,8158.329978
163.199746,1600,8332.718715
186.58041,1600,8489.171346
98.948214,1600,8657.709919
-115.988563,52,8659.840408
-116.448197,42,8665.113705
-114.287663,40,8666.618568
-114.088323,45,8668.340989
-118.281539,45,8673.759006
-111.941761,42,8675.473113
-115.717149,55,8677.567097
-116.365616,41,8682.846392
-117.329062,107,8690.936076
-117.260073,46,8692.707058
-118.609792,147,8702.189573
-118.692156,45,8707.932347
-119.993855,45,8709.725891
-114.216985,41,8711.341367
-115.693553,42,8716.880695
-72.559589,857,8785.937285
-105.283685,418,8801.897081
-54.79875,530,8840.224801
-77.229315,429,8934.665612
-57.186315,871,8985.825878
-119.671429,233,9013.170713
-82.132008,665,9057.835583
-129.947801,110,9121.374815
139.9158,1600,9218.299618
160.642368,1600,9391.899658
-71.965941,413,9425.511121
171.191159,1600,9579.909138
154.98922,1600,9758.001279
26.310807,1133,9838.657099
190.891542,1600,9999.63767
192.086985,1600,10179.771988
224.788089,1600,10336.499843
-39.05754,530,10373.910824
9.430437,965,10447.982217
237.513115,1600,10607.953164
-85.688099,1516,10775.762646
-116.800229,43,10781.32867
-117.916046,42,10782.981042
-116.985316,41,10784.639292
-119.118338,45,10790.446215
-116.303986,41,10792.071658
-119.022991,44,10793.800898
-113.300307,38,10799.191639
203.536398,1600,10914.277323
233.373092,1600,11072.203382
224.888308,1600,11250.046798
231.990934,1600,11411.89811
238.823169,1600,11528.655437
220.612711,1600,11686.135582
-113.032245,62,11706.224921
247.149879,1600,11872.510562
250.615284,1600,12049.051916
262.62328,1600,12207.075618
255.802289,1600,12323.484056
260.985843,1600,12504.016781
259.810995,1600,12689.882449
101.991499,1272,12844.931886
-121.589345,43,12846.539751
-120.449964,43,12851.89697
-117.255708,40,12853.460603
-116.597952,39,12855.005895
-119.840273,43,12860.470849
-117.651246,40,12862.024141
-116.683336,40,12863.608394
-115.930739,41,12869.095997
-121.364225,44,12870.814007
-114.58156,37,12872.295933
-119.113778,42,12873.948442
-119.099666,42,12879.183378
-121.104099,44,12880.946552
-122.101105,43,12882.614234
-121.059243,44,12888.103748
-121.821434,43,12889.708894
-120.741815,44,12894.945036
-120.394424,44,12896.711441
-121.891967,44,12898.435146
-120.347692,44,12904.011956
-117.400105,41,12905.699959
-120.493909,43,12907.411128
-121.714764,43,12913.066963
-120.192496,43,12914.850001
-122.251412,43,12916.594227
-121.471786,43,12922.312417
-121.677979,45,12924.168462
-121.827367,44,12925.942429
-121.302272,43,12931.738991
237.367183,1600,13028.373605
281.113386,1570,13203.264484
264.145976,1600,13381.12651
262.36611,1600,13540.886065
271.580223,1600,13664.85769
280.506589,1558,13823.599261
274.031826,1600,13999.42168
267.024037,1600,14157.079924
281.363403,1549,14268.932312
284.202117,1526,14441.25286
282.842929,1521,14622.080981
278.792493,1577,14779.476066
281.930454,1547,14921.008556
-120.286985,167,15007.946894
-120.217161,44,15010.002526
-121.566142,43,15012.097074
-115.733092,37,15018.474369
-120.604232,43,15020.510182
-116.353396,38,15022.295205
-119.219465,43,15029.022174
-114.06655,42,15031.022695
-120.622044,44,15033.182619
-120.04861,44,15040.038808
-120.571359,43,15042.086378
-114.199769,38,15043.906661
-121.235743,42,15050.799695
-121.955995,43,15052.828271
-120.843568,42,15054.855354
-122.076974,43,15061.686172
-121.959943,44,15063.757596
-121.735145,42,15065.770737
-121.689883,43,15072.407348
-121.114798,44,15074.451582
-121.956612,44,15076.513986
-121.317675,44,15083.305133
-122.706976,43,15085.381613
-122.743828,44,15087.496969
-121.941922,44,15094.377982
-121.395553,44,15096.505565
-122.191436,42,15098.533823
-123.44812,42,15105.280058
188.682004,1600,15230.209834
236.475191,1600,15456.874768
253.123746,1600,15651.369179
-116.284516,48,15653.504738
242.419289,1600,15897.540348
241.878015,1600,16057.508029
265.752768,1600,16252.876137
262.238917,1600,16480.433535
268.991991,1600,16676.910843
280.456173,1475,16889.286927
-64.281388,333,16904.392761
283.016632,1460,17017.276435
282.375946,1459,17225.865005
282.349901,1466,17413.016326
289.475325,1345,17519.543546
-100.705838,116,17596.244691
-117.53447,48,17598.48637
-123.823683,43,17600.483223
-123.161384,42,17607.1491
-122.493732,41,17609.118385
-115.232047,46,17616.137883
-121.097427,42,17618.13935
-124.045248,42,17620.214849
-122.244098,45,17627.046109
-122.536567,43,17629.103609
-123.46711,42,17631.108661
-121.652087,43,17637.799526
-122.541224,42,17639.818362
-123.958701,42,17641.769391
-123.230966,42,17643.725181
-124.290996,42,17650.163699
-123.703862,41,17652.050892
-121.298825,42,17654.064307
-119.897955,41,17660.671286
-123.791095,42,17662.685208
-123.911631,42,17664.736694
-123.447672,42,17671.25192
-123.326813,43,17673.276853
-122.432675,40,17675.189728
-125.458478,41,17681.72299
-123.645793,42,17683.755281
-123.667318,40,17685.684954
-122.865468,42,17692.46295
-123.742554,41,17694.429543
-123.136354,41,17696.355972
-123.261125,41,17702.872149
213.828982,1600,17852.429305
243.119396,1600,18095.889169
266.92717,1600,18316.568479
263.528014,1600,18559.912423
274.764434,1578,18691.926461
287.00545,1421,18902.215143
274.80222,1600,19143.954197
277.127717,1537,19378.224205
-96.115535,145,19386.171034
276.457562,1536,19513.862401
282.451056,1475,19744.828496
281.851335,1496,19953.003316
284.332618,1441,20160.293971
283.748767,1466,20310.197923
-27.484692,435,20422.091324
-123.636073,42,20424.380058
-122.974152,42,20432.562539
-123.339545,41,20435.560335
-124.950514,41,20441.066792
-124.07956,42,20457.199682
-123.673175,41,20461.916804
-123.48089,41,20464.264324
-123.885705,40,20471.970842
-122.396748,41,20474.281052
-124.400543,41,20476.59937
-123.512546,42,20484.385745
-125.298192,43,20486.778208
-125.836848,41,20489.082487
-123.284825,47,20497.178679
-124.294091,41,20499.534823
-123.694898,41,20501.865237
-124.59924,41,20509.536035
-124.225498,41,20511.842065
-124.355065,40,20514.108395
-123.338501,42,20522.077779
-123.940501,42,20524.467117
-125.454416,41,20526.794291
-114.088414,38,20534.367725
-123.298567,44,20536.853072
-124.67765,42,20539.271673
-124.348609,42,20547.159369
-122.559859,40,20549.407344
-125.05648,40,20551.629796
-123.838201,40,20553.841288
-112.44869,41,20561.752432
-97.267234,150,20570.157822
287.226835,1332,20703.191818
290.943461,1321,20903.668007
285.192936,1395,21101.94813
287.311495,1379,21216.976305
288.712324,1317,21416.949633
288.462327,1350,21613.765868
286.521947,1415,21744.342714
284.611279,1400,21947.723022
291.139219,1301,22146.512692
283.107819,1440,22265.395144
27.832417,732,22409.744631
290.280938,1310,22538.343151
290.509344,1314,22737.352871
288.037736,1349,22935.949103
291.503174,1312,23044.186102
32.896627,707,23188.75898
-123.278778,42,23191.074715
-126.23332,46,23198.864219
-124.682405,48,23201.52411
-123.888901,42,23203.866356
-124.334352,40,23211.667846
-123.752759,41,23213.951985
-122.26878,50,23222.208899
-123.931693,41,23224.541506
-124.811735,39,23226.704564
-125.23566,40,23228.940231
-123.74752,41,23236.733201
-123.730052,39,23238.964999
-123.996367,41,23241.253884
-125.567695,40,23248.897103
-122.663226,40,23251.106387
-125.118772,40,23253.387361
-124.668659,39,23260.996323
-124.972431,41,23263.296981
-125.076862,41,23265.655347
-122.884566,40,23273.48772
-124.236124,40,23275.787059
-123.554194,41,23278.156735
-124.638297,40,23285.782673
-123.370382,40,23288.021499
-123.841714,40,23290.321178
-121.792961,41,23292.665973
-124.810497,40,23300.361483
-124.50195,40,23302.639436
-124.433652,40,23304.886333
-117.091669,38,23312.416782
272.362415,1600,23459.023639
280.405886,1541,23670.404354
282.394405,1562,23899.110055
284.865858,1515,24106.942233
281.94684,1537,24228.841304
153.580833,1317,24432.92711
171.061565,1470,24608.486123
286.274601,1458,24706.735043
278.791876,1577,24901.792205
28.449902,869,25030.185433
8.207493,667,25074.72002
286.216875,1461,25266.037244
292.630218,1347,25363.727935
288.690773,1424,25537.922843
97.492915,1148,25698.314058
-124.10218,41,25700.248776
-124.440108,40,25702.114839
-125.265053,41,25708.599299
-125.945192,40,25710.500141
-125.96181,40,25712.462581
-124.683012,40,25719.081906
-124.431054,39,25720.910078
-123.542786,39,25722.744282
-125.401617,40,25729.409721
-123.709452,41,25731.412216
-124.382351,41,25733.353687
-124.062054,40,25739.693958
-124.554049,40,25741.582279
-125.634533,40,25743.406178
-126.906092,41,25749.872397
-125.544435,40,25751.797785
-126.430593,40,25753.614901
-124.609461,41,25755.48907
-125.029967,40,25762.056082
-123.339161,40,25763.970606
-125.30064,40,25765.894049
-125.976156,39,25772.451097
-124.133434,40,25774.346345
-127.50406,40,25776.249944
-124.760828,40,25782.759347
-125.735331,40,25784.705778
-124.70002,39,25786.597864
-126.082739,40,25793.287177
-124.275417,40,25795.189431
-126.300677,41,25797.120863
-124.806867,40,25803.708325
285.755072,1408,25900.168715
295.761866,1254,26065.903726
293.295287,1281,26158.056612
288.844714,1341,26326.900504
291.44139,1316,26489.192715
290.131044,1319,26583.268447
285.827741,1412,26770.314773
296.095161,1230,26932.146317
288.54002,1361,27026.868711
295.182831,1254,27190.952389
293.855085,1288,27343.830568
288.491663,1336,27414.786695
290.673773,1350,27544.328968
293.310238,1303,27677.386227
294.972637,1232,27738.674893
