#{"t_start": 1764215627.4937189, "env_id": "BipedalWalker-v3"}
r,l,t
-116.467685,57,4.380694
-109.788495,49,5.832121
-104.897929,1600,54.889989
-109.116154,1600,155.993345
-111.846474,50,157.578558
-110.481908,98,160.422231
-101.753183,85,163.003026
-98.743181,1600,269.085585
-120.502238,82,271.563384
-103.851672,1600,384.922867
-111.60295,71,403.217284
-97.645591,1600,530.991293
-99.999232,1600,623.776174
-78.858928,1600,750.331285
-78.164941,1600,892.991303
-75.842205,1600,1020.041382
-102.23398,80,1022.432489
-64.711106,1600,1161.190226
-42.861934,1600,1252.585459
-39.063588,1600,1379.997889
-60.97979,1600,1512.196326
-92.977013,1600,1600.78377
-75.652463,1600,1740.776178
-61.086066,1600,1868.878074
-59.590002,1600,1959.938715
-56.954665,1600,2087.475194
-38.421745,1600,2229.315199
-40.947355,1600,2370.978643
-45.478192,1600,2492.96382
-11.23561,1600,2572.343774
-16.84483,1600,2681.944089
-23.405836,1600,2797.427264
-11.085434,1600,2899.880376
3.179062,1600,2950.590376
-83.759084,1600,3079.333888
-41.785585,1600,3134.216989
-48.943936,1600,3241.063655
-36.307729,1600,3345.349694
-44.796292,1600,3464.915946
-33.236608,1600,3585.53831
-29.72576,1600,3677.095254
-30.556335,1600,3801.997895
-105.800775,73,3804.156509
-15.663741,1600,3946.200682
-12.352805,1600,4088.180522
-0.478986,1600,4162.759563
20.127139,1600,4303.40397
-0.165634,1600,4430.338479
-28.985332,1600,4599.935223
-124.85912,112,4604.101162
-115.150285,51,4609.834613
-125.477982,110,4617.705722
-120.435831,71,4620.338634
-114.695617,91,4627.737767
-113.675083,43,4629.429716
-113.415207,41,4635.062292
-112.426403,43,4636.810857
-113.582805,50,4638.73593
-113.337345,109,4646.903748
-23.770824,843,4696.723428
-108.375824,111,4700.931783
-87.696685,254,4725.103265
-30.130378,1597,4879.454659
-99.57355,142,4903.105678
-91.857046,157,4909.052254
-76.281098,476,4940.829732
-70.620996,699,5048.128859
-33.380727,1090,5123.113276
-66.20115,572,5145.503431
-41.945573,872,5268.435349
78.318962,1600,5417.3759
-74.321678,401,5449.330744
126.332002,1600,5619.973773
131.874475,1600,5712.330076
106.215815,1600,5886.27048
142.538544,1600,6042.667943
138.369054,1600,6215.815465
167.292855,1600,6373.318708
191.840799,1600,6487.308079
-95.868986,704,6602.011404
-114.42613,43,6603.621418
-121.369374,46,6609.128083
-116.345271,49,6610.99649
-111.879473,80,6617.93394
-114.408788,41,6619.517988
-111.631131,66,6625.868686
-114.854575,41,6627.466229
-113.959215,42,6629.050178
-111.592172,74,6635.69184
-114.981987,47,6637.426819
-118.302205,46,6642.720239
-114.962252,40,6644.182596
-113.170719,40,6645.678483
-111.344875,80,6652.518867
-117.971681,54,6654.596026
-119.509319,46,6660.339753
-119.365623,43,6662.080284
-116.717098,43,6663.878788
-116.927028,44,6669.634853
-74.341047,588,6710.20458
-96.797389,303,6721.767875
-127.889011,135,6726.85131
-45.220772,1039,6863.606645
-95.51051,180,6870.390711
-127.230378,94,6874.019932
-30.371528,1448,6980.610882
-37.043152,831,7092.299149
-79.704209,298,7103.666244
-106.165903,352,7134.69376
-124.528126,99,7138.447968
-70.216148,423,7170.858287
-74.364375,279,7181.857127
-96.966202,303,7272.163947
-10.716077,993,7328.825814
-104.134939,398,7361.819451
-85.532481,232,7370.694944
133.023344,1600,7548.402767
96.392521,1600,7705.363192
-85.717602,253,7734.297443
126.029921,1600,7890.396878
133.523452,1600,8066.404647
158.223208,1600,8181.528224
166.38383,1600,8337.771703
158.317549,1600,8512.536308
78.945564,1600,8666.487723
-115.68166,44,8668.180485
-112.238316,60,8674.20266
-116.161117,43,8675.920228
-116.447458,42,8677.521857
-113.836693,41,8682.798862
-110.714025,59,8685.099301
-115.846134,43,8690.690291
-118.867903,45,8692.426844
-114.750433,40,8693.989954
-116.417277,43,8699.281261
-116.630914,43,8701.065219
-117.798289,43,8702.804233
-114.626735,49,8708.702139
-119.510152,45,8710.482057
-120.163618,44,8712.251933
-112.434993,37,8717.58861
-20.203263,982,8791.39034
-96.277344,102,8795.340616
-107.191929,216,8803.449933
-96.016569,79,8824.42491
-113.207822,108,8828.566955
-119.920048,116,8833.131135
-127.782954,327,8845.709112
-123.988405,73,8866.129203
-60.441911,670,8970.408712
-128.800188,141,8975.574641
-34.462877,784,9023.590135
-76.080529,442,9059.839285
-81.851498,1125,9197.35849
134.411147,1600,9354.392272
-82.153859,316,9383.996072
164.702958,1600,9538.515824
176.584087,1600,9715.816237
139.579077,1600,9814.284322
188.016684,1600,9993.577819
217.845639,1600,10155.017012
222.814224,1600,10330.318611
218.25013,1600,10445.961032
216.194374,1600,10605.870428
-95.570383,1493,10772.560284
-116.206045,40,10774.174281
-117.040919,42,10775.874805
-118.120705,44,10781.478442
-118.703671,44,10783.220102
-117.812815,44,10784.993609
-119.726558,44,10790.782246
-116.228779,42,10792.447877
-116.914173,42,10794.078254
-118.246932,43,10799.651201
-85.86498,452,10834.98041
206.548692,1600,10992.163005
84.164103,1383,11100.208648
206.399962,1600,11259.671868
221.570577,1600,11439.482496
232.266558,1600,11597.798847
231.834367,1600,11713.310611
255.537202,1600,11879.385853
256.271928,1600,12056.109732
247.086755,1600,12232.430938
249.696412,1600,12330.656739
259.223994,1600,12529.005699
274.344949,1600,12701.031949
63.276094,1112,12845.858776
-117.524716,42,12847.448787
-120.352382,42,12852.794951
-111.356078,35,12854.176243
-120.149761,43,12855.865678
-120.349416,44,12861.367854
-120.409834,44,12863.082969
-122.262856,43,12864.835565
-119.452072,44,12870.371154
-118.2873,41,12872.017807
-121.247636,44,12873.754726
-122.659009,43,12879.003118
-120.746129,44,12880.786472
-120.020959,43,12882.463297
-119.481484,43,12887.912824
-122.033039,44,12889.555017
-120.577057,45,12891.224157
-119.907867,43,12896.546247
-121.107824,45,12898.307921
-117.372662,40,12899.849987
-120.776201,44,12905.522882
-120.532449,44,12907.275133
-121.754484,43,12912.924359
-118.897703,43,12914.71396
-121.367975,43,12916.46161
-121.957822,44,12922.214434
-118.817346,42,12923.950881
-121.319634,45,12925.77265
-122.009502,44,12931.622246
257.260127,1600,13028.236495
67.144516,1067,13166.132452
269.686734,1600,13343.867277
282.523163,1530,13438.971339
277.538782,1600,13616.99913
279.775437,1589,13785.039064
280.464029,1570,13959.91399
137.893904,1326,14046.308023
280.132511,1566,14202.455998
286.406823,1488,14380.216502
282.280158,1557,14554.528987
284.450805,1535,14666.933463
283.816114,1518,14832.092992
44.215047,1026,15001.18019
-117.662123,40,15007.645962
-121.792761,44,15009.712666
-119.744551,43,15011.79043
-118.535144,42,15018.413422
-121.81407,44,15020.500297
-116.631875,42,15022.487965
-120.651504,45,15029.306928
-121.8155,44,15031.411043
-118.214738,41,15033.438056
-121.720983,44,15040.274218
-121.783669,45,15042.408873
-121.361454,45,15044.585832
-121.706171,43,15051.500593
-120.654506,43,15053.538816
-117.43703,40,15055.49937
-122.045687,44,15062.345929
-120.882562,43,15064.382852
-121.940089,43,15066.441553
-121.086123,45,15073.163446
-120.320336,44,15075.206135
-122.191668,45,15077.321571
-121.179147,43,15084.073455
-121.111613,44,15086.2099
