#{"t_start": 1764215627.1522143, "env_id": "BipedalWalker-v3"}
r,l,t
-115.975201,1600,52.076588
-104.943995,1600,153.179311
-113.863093,1600,257.956367
-95.945214,1600,372.697026
-102.962184,62,374.523997
-105.164527,81,376.999132
-102.047749,63,378.882708
-110.953257,84,381.369316
-94.440993,1600,525.034227
-91.315228,1600,603.524026
-89.142257,1600,744.859904
-74.358274,1600,873.347438
-53.645395,1600,1014.293428
-103.094771,61,1016.151789
-65.119285,1600,1107.377875
-39.031688,1600,1231.892155
-47.149567,1600,1373.697588
-54.234385,1600,1502.606756
-85.838042,1600,1594.606482
-73.738612,1600,1719.839942
-76.397142,1600,1862.496956
-60.997492,1600,1953.729721
-45.492228,1600,2081.22602
-52.628724,1600,2223.360832
-39.885173,1600,2350.494686
-36.191573,1600,2438.407461
-26.939066,1600,2555.883412
-17.715361,1600,2675.66006
-16.785742,1600,2786.382238
-16.868274,1600,2893.661754
3.551411,1600,2944.378052
-72.121793,1600,3073.081404
-102.151875,83,3075.552134
-120.18411,85,3078.089668
-100.700414,84,3080.575639
-100.417774,106,3085.600925
-126.695875,103,3088.668119
-121.057359,64,3090.540674
-100.829181,83,3093.009164
-42.623043,1600,3200.670377
-113.250303,71,3202.749895
-132.889097,117,3206.206249
-124.277773,90,3208.92742
-107.665465,78,3211.258427
-52.113239,1600,3314.567793
-117.29578,63,3316.44736
-43.153333,1600,3377.574642
-36.199249,1600,3501.635444
-29.440028,1600,3639.987822
-21.607521,1600,3766.035103
-36.204274,1600,3854.359035
-21.194448,1600,3982.720084
-17.069307,1600,4122.488548
-5.056211,1600,4248.795403
18.781309,1600,4390.74718
2.586883,1600,4468.714836
-162.255045,910,4601.872166
-125.273254,114,4609.935766
-112.234927,91,4613.30666
-115.357698,51,4618.977411
-111.258679,73,4621.759763
-118.907933,104,4629.669663
-130.239403,97,4637.567569
-113.361676,42,4639.185627
-111.704385,44,4644.830323
-103.233196,215,4653.256514
-130.181771,138,4658.401678
-127.273695,258,4685.879234
-109.688881,83,4688.978237
-118.26312,408,4719.106296
-100.663287,114,4723.383826
-99.415604,796,4767.167036
-123.244602,164,4835.665812
-68.582216,738,4899.764488
-72.417937,498,4918.483444
-85.095032,485,4950.960479
-12.749389,1135,5092.350223
-95.790186,338,5105.193186
-106.527767,123,5125.908485
-18.945059,1102,5247.123348
-106.532853,104,5262.184044
-134.673303,349,5275.224327
122.473965,1600,5440.873714
116.499569,1600,5593.624942
-54.674832,650,5636.638988
142.40724,1600,5805.122237
157.568766,1600,5902.5558
156.015096,1600,6076.800054
155.845937,1600,6250.484211
156.162418,1600,6407.115054
176.803314,1600,6584.137114
-123.705598,96,6591.524431
-114.506927,40,6593.067681
-112.28443,74,6595.833969
-113.019025,71,6602.29322
-114.901576,49,6604.14132
-115.514883,40,6609.410552
-109.951962,52,6611.397792
-114.910149,51,6617.188929
-114.967731,65,6619.723986
-118.995266,47,6621.502148
-112.904483,75,6628.26678
-115.90046,49,6630.084394
-113.748323,59,6636.165139
-116.982194,47,6637.913976
-117.015136,51,6643.36964
-110.412085,61,6645.63156
-115.452204,44,6647.297261
-117.158238,50,6652.999861
-120.044388,45,6654.724246
-111.472665,56,6660.8598
-116.456979,42,6662.570491
-114.436413,45,6664.438902
-115.589173,40,6670.049609
-120.620422,334,6683.377454
-93.159078,216,6691.813113
-86.364905,227,6717.668964
-35.125594,889,6769.326771
-106.274493,80,6772.349982
-83.268038,449,6868.916729
