#{"t_start": 1764215627.4903588, "env_id": "BipedalWalker-v3"}
r,l,t
-102.724369,71,4.798317
-125.587838,129,8.635695
-100.398297,65,10.635297
-115.391243,1600,59.572334
-106.049879,73,62.768054
-112.636951,66,64.706647
-124.555102,1600,164.934397
-117.641128,91,167.622637
-103.109444,1600,273.827859
-112.695278,64,275.811387
-100.776509,91,278.620017
-108.601984,64,280.61107
-115.805846,76,282.976135
-107.833568,107,287.61277
-94.593585,1600,415.625689
-125.935666,117,419.20826
-111.665521,46,420.594206
-101.968182,1600,563.129778
-110.929935,70,565.189474
-105.838806,89,567.828193
-92.271752,1600,709.599742
-102.840725,84,712.102938
-85.559593,1600,855.507962
-73.240661,1600,932.684752
-59.446153,1600,1073.739607
-53.782222,1600,1197.868067
-43.682432,1600,1339.161246
-45.033513,1600,1466.753157
-93.877634,1600,1560.455659
-80.896877,1600,1637.146928
-62.377543,1600,1778.555926
-67.477789,1600,1906.464291
-59.757471,1600,2047.398569
-57.563903,1600,2189.216055
-45.793023,1600,2265.465478
-31.181275,1600,2406.43126
-38.750076,1600,2524.965696
-23.020222,1600,2649.217577
-15.169083,1600,2712.937496
-13.991044,1600,2822.415511
-10.68619,1600,2924.114618
-22.098767,1600,3038.283418
-99.520071,1600,3104.418524
-125.028253,119,3107.923398
-42.758594,1600,3214.095189
-33.211499,1600,3317.436536
-51.607695,1600,3378.595582
-98.575224,74,3383.204928
-119.609609,89,3385.912858
-123.260037,119,3439.048829
-37.985318,1600,3511.317131
-38.645057,1600,3649.587909
-44.647892,1600,3788.066674
-28.046286,1600,3915.023805
-18.102251,1600,4007.132372
-6.966463,1600,4131.909852
4.722984,1600,4273.255234
14.345014,1600,4400.273229
6.825465,1600,4560.485693
-119.682924,80,4567.464173
-127.361854,112,4575.166821
-113.365075,133,4584.057614
-125.44601,94,4591.486904
-112.474564,100,4595.385969
-129.191358,98,4602.771198
-136.687171,193,4617.553381
-109.394684,83,4620.63116
-125.976612,116,4629.029768
-109.963718,77,4636.135587
-114.237999,48,4638.01788
-111.033967,55,4644.059702
-26.836257,1409,4729.897142
-104.547845,199,4737.472611
-118.70785,432,4829.885627
-105.723271,429,4864.358302
-91.196139,252,4873.689239
-102.927917,106,4877.589923
-95.129274,124,4900.453755
-107.001914,438,4916.89174
68.176451,1600,5090.019334
-94.982808,279,5100.543733
97.363863,1600,5267.746077
-104.740787,446,5298.14861
-111.439973,136,5303.425355
-78.728551,390,5318.550435
-102.643132,232,5340.623765
139.158636,1600,5494.892472
136.042071,1600,5665.245485
107.015917,1600,5818.776892
151.49104,1600,5992.700207
138.698614,1600,6106.702363
154.393334,1600,6264.10426
-48.109139,557,6302.423222
158.73741,1600,6477.591056
-48.58169,757,6586.787186
-116.855167,129,6595.358795
-112.259105,65,6601.578368
-118.347663,58,6603.774401
-124.877682,175,6618.088423
-120.606064,215,6630.136137
-112.013655,76,6636.840573
-113.672775,41,6638.374148
-110.977206,75,6644.700725
-112.800714,71,6647.409041
-114.466814,48,6653.021003
-118.78542,47,6654.825213
-113.894724,73,6661.656443
-116.540876,43,6663.444084
-120.114318,44,6665.223626
-128.409581,106,6673.522565
-41.435522,886,6725.187438
-100.166547,122,6729.761003
-81.596419,224,6756.08284
-126.509655,121,6760.690132
-94.96827,124,6765.41697
-82.130772,283,6793.550946
-103.518014,274,6866.080438
-125.342838,92,6869.522981
-107.55625,116,6873.971784
-100.330777,146,6895.510204
-99.686537,364,6909.088309
-75.806799,317,6938.957982
-71.91089,535,6977.37782
-49.696713,691,7083.628633
-122.767926,90,7087.128575
-56.607067,809,7135.532414
-80.073555,321,7163.722724
-122.928754,104,7167.867191
-94.663117,129,7173.005572
-90.111339,438,7268.733242
-42.768926,1094,7329.260743
-97.153719,497,7366.036887
-72.367618,359,7458.805959
126.009913,1600,7557.558246
-86.225403,281,7586.324004
131.445224,1600,7744.819771
162.760566,1600,7919.839933
161.524485,1600,8076.559174
139.036414,1600,8251.079632
179.59313,1600,8365.023565
175.948211,1600,8522.580769
-32.095694,806,8631.203142
-114.203467,43,8632.799753
-114.662258,41,8637.97685
-112.739848,57,8640.185297
-118.063283,55,8642.416075
-113.227086,140,8651.590816
-117.108958,43,8656.942721
-119.256326,140,8666.115618
-113.518407,49,8667.989235
-115.206344,45,8673.371158
-116.953788,43,8675.154593
-114.468989,45,8676.868961
-118.2662,43,8682.213386
-112.709346,67,8684.828158
-115.912297,46,8690.527929
-117.520636,43,8692.187516
-118.130067,45,8693.937752
-115.899861,41,8699.159983
-116.660768,44,8700.97488
-115.815534,41,8702.626337
-114.654732,40,8708.169191
-118.805743,45,8709.963254
-111.360041,43,8711.678969
-112.512937,39,8717.078383
-128.300181,133,8740.486342
-20.700416,1285,8825.427924
3.678497,1137,8947.041557
-106.423721,118,8969.92575
-93.816886,150,8975.458459
-13.085034,1349,9123.746739
-26.37729,723,9168.539696
-77.373788,290,9197.674212
-64.938599,771,9245.915302
139.65929,1600,9401.308888
-78.133488,514,9439.24198
150.024372,1600,9611.46273
198.561963,1600,9771.94143
180.066712,1600,9951.039826
204.525227,1600,10131.249429
208.804875,1600,10228.532187
181.26204,1600,10402.759868
211.810627,1600,10562.1929
161.313196,1600,10735.910238
-119.329317,47,10737.756387
-115.759699,53,10739.803531
-114.805777,48,10745.432075
-116.557461,41,10747.033966
-117.536081,43,10748.730407
-112.725147,45,10754.85121
-117.526293,43,10756.603324
-117.980537,44,10758.369473
-119.004516,45,10764.123119
-114.818197,40,10765.758236
-110.864941,61,10772.316554
-113.213682,37,10773.81169
-119.230104,44,10775.593678
-117.98837,44,10781.195356
-117.311623,43,10782.88937
-119.181635,45,10784.71471
-119.965664,45,10790.521442
-114.03248,39,10792.060239
-119.255903,44,10793.790206
-112.460978,81,10800.801891
212.575651,1600,10915.994881
228.061852,1600,11073.851659
228.706618,1600,11251.810665
233.249235,1600,11413.620655
241.814341,1600,11530.315539
234.633073,1600,11705.467064
259.464309,1600,11871.760903
226.479935,1600,12048.324871
252.098665,1600,12206.327475
242.92815,1600,12322.747109
263.413763,1600,12503.267567
269.698073,1600,12689.069376
117.746201,1282,12844.592383
-120.216766,44,12846.233618
-118.196889,44,12851.623137
-118.045577,42,12853.260673
-113.975271,40,12854.838257
-118.34017,45,12860.386495
-121.798177,44,12862.098
-120.020237,46,12863.93064
-116.541943,40,12869.361955
-115.037448,41,12870.964565
-120.796128,43,12872.707473
-120.560921,44,12878.015114
-120.324979,43,12879.704389
-115.90013,40,12881.309012
-121.814921,43,12886.735826
-121.243067,44,12888.448397
-119.318245,44,12890.08312
-120.663726,44,12895.342512
-119.81685,43,12897.057561
-119.38095,43,12898.739002
-120.533527,44,12904.331667
-120.914928,43,12906.083371
-122.036123,44,12907.847208
-119.92013,43,12913.535554
-121.667597,44,12915.34092
-121.315485,43,12917.085094
-121.557688,44,12922.856799
-120.959525,44,12924.641246
-121.50698,43,12926.397316
-120.945904,42,12932.122599
251.743606,1600,13028.781631
264.073178,1600,13204.827332
278.32554,1571,13381.554602
272.056993,1600,13541.306398
273.642211,1600,13665.271518
171.860962,1534,13823.094132
276.693215,1600,13998.908535
286.852561,1466,14151.627476
281.46738,1551,14263.301832
280.175033,1555,14435.933524
51.955645,913,14558.77397
283.07647,1545,14671.740325
285.145444,1503,14836.913494
51.426741,856,14998.135108
-121.485283,44,15000.200949
-119.603387,43,15002.213081
-120.674223,44,15008.867156
-120.366899,44,15010.96502
-112.853205,45,15013.159711
-114.159743,45,15019.877311
-117.014492,40,15021.758656
-121.420313,45,15028.595872
-122.11987,43,15030.637842
-122.042416,42,15032.675154
-114.888853,46,15039.630831
-121.613984,44,15041.731643
-122.60058,44,15043.844539
-121.853499,43,15050.786199
-121.906185,44,15052.871572
-120.787579,44,15054.994733
-120.536563,42,15061.772702
-119.920025,45,15063.889728
-119.792434,42,15065.905338
-121.957155,44,15072.583024
-121.040643,46,15074.719366
-120.579033,44,15076.776803
-122.019318,43,15083.530685
-122.565698,44,15085.65535
-122.261604,43,15087.716827
-122.170778,44,15094.600499
-122.728432,43,15096.688163
-121.227497,43,15098.760439
-121.202608,43,15105.55591
237.974596,1600,15230.48649
230.545021,1600,15457.150594
235.700919,1600,15651.629785
-117.503645,50,15653.855493
256.161562,1600,15897.907742
250.892698,1600,16057.848651
253.655116,1600,16253.229113
273.813435,1599,16480.756381
279.907509,1498,16672.498654
273.122317,1599,16890.599503
284.099865,1422,17001.792993
-120.165491,80,17005.385641
284.923221,1397,17188.742668
286.141889,1418,17395.963095
-117.349373,56,17398.49482
280.867158,1491,17511.618322
-89.284142,329,17598.225806
-123.526945,43,17600.234631
-122.006406,42,17606.887169
-122.978135,42,17608.910307
-123.241084,43,17610.972322
-122.944314,44,17617.872072
-122.563815,43,17620.000434
-122.426904,42,17622.004768
-124.211416,41,17628.657271
-122.169799,45,17630.808927
-122.349699,42,17632.844928
-123.633204,41,17639.427479
-121.877273,42,17641.390989
-123.404078,43,17643.377124
-123.149502,40,17649.726702
-120.926274,43,17651.712301
-122.45258,42,17653.725515
-122.684972,42,17660.388485
-123.125016,41,17662.32943
-123.639338,42,17664.382298
-124.636328,42,17670.91043
-122.922909,41,17672.845414
-119.544312,41,17674.798462
-124.232131,41,17681.329507
-123.837674,43,17683.400211
-123.367298,42,17685.42955
-124.562543,41,17692.155564
-124.416434,42,17694.178814
-123.65708,41,17696.110639
-125.000216,41,17702.618268
225.746822,1600,17852.116573
242.94481,1600,18095.583677
250.070411,1600,18316.258459
237.234459,1600,18559.598141
264.938832,1600,18692.894773
263.401698,1600,18935.893544
250.384205,1600,19154.883193
275.088064,1593,19392.078296
280.519772,1534,19605.983041
290.279893,1346,19743.454661
280.62862,1463,19949.858156
285.561374,1417,20155.770051
260.876805,1600,20313.141152
-63.164739,382,20422.073303
-113.019367,45,20424.534035
-120.685168,42,20432.735644
-123.733375,42,20436.135121
-122.657381,40,20441.475345
-125.155921,42,20457.725235
-123.488546,41,20462.090492
-125.902298,41,20464.435529
-122.664693,41,20472.186811
-123.80278,41,20474.50141
-124.527977,41,20476.820646
-123.701566,42,20484.605279
-121.661197,49,20487.368551
-124.06341,40,20489.593018
-122.113608,47,20497.696954
-124.212403,41,20500.039777
-124.877439,41,20502.35934
-123.644661,41,20510.037559
-123.591403,42,20512.405445
-124.116395,42,20514.78709
-124.304691,42,20522.758407
-123.722657,41,20525.100382
-123.277099,41,20527.423291
-125.086559,41,20535.151847
-124.713178,41,20537.484914
-124.339714,41,20539.840993
-123.59133,41,20547.675085
-125.328231,40,20549.888287
-124.463952,40,20552.108409
-123.540296,43,20560.147544
288.543636,1363,20675.352811
289.257866,1353,20897.291363
288.206883,1369,21007.407702
290.12725,1332,21206.605098
287.719108,1377,21409.761543
289.19565,1319,21517.992903
288.36029,1363,21715.415305
288.518034,1342,21913.312834
289.111503,1388,22049.099346
294.947526,1245,22244.577012
290.585615,1294,22439.569704
290.27276,1328,22549.37403
291.308553,1339,22749.758126
292.534118,1307,22946.111309
293.987444,1284,23052.802265
-12.812419,533,23187.818604
-116.453659,38,23189.884764
-124.377535,46,23197.657487
-123.92693,41,23199.953132
-123.102295,41,23202.228509
-124.622037,45,23210.260056
-123.91806,40,23212.561088
-123.764988,41,23214.829836
-124.24875,40,23222.544625
-123.017795,41,23224.864501
-122.568789,41,23227.137099
-123.179584,40,23234.842979
-123.444987,40,23237.113338
-125.851088,44,23239.624616
-120.759187,44,23247.458888
-123.82268,39,23249.659375
-123.651581,41,23251.946692
-124.355631,40,23254.231495
-123.594236,40,23261.885726
-124.871686,40,23264.123219
-123.885715,41,23266.522443
-124.937617,39,23274.286447
-125.401369,40,23276.588937
-123.602966,40,23278.88008
-123.959664,41,23286.561991
-124.87154,39,23288.745928
-123.578818,41,23291.113342
-124.714181,40,23298.766768
-124.868081,41,23301.172929
-122.382345,42,23303.537946
-123.978241,40,23311.170586
266.935328,1600,23457.830339
281.187649,1534,23668.773033
263.5615,1600,23899.59906
282.685406,1559,24109.854712
285.922541,1487,24228.996137
256.043773,1600,24445.761675
283.923406,1519,24623.793379
77.136957,874,24695.354073
52.970252,813,24822.968518
288.30545,1444,24921.732955
280.889932,1584,25113.020299
285.931878,1476,25288.51941
-20.321127,423,25325.423456
289.014482,1431,25500.747526
288.3139,1425,25619.266446
-97.839127,151,25698.549875
-124.410942,40,25700.424037
-124.32816,40,25702.292227
-124.752416,40,25708.746198
-122.791859,41,25710.680026
-123.673892,40,25712.652823
-124.172602,40,25719.257407
