#{"t_start": 1764215627.4948359, "env_id": "BipedalWalker-v3"}
r,l,t
-110.641819,113,6.042529
-102.305617,55,7.676016
-97.903729,105,10.882498
-117.852278,59,12.637164
-171.975613,877,39.361923
-104.056987,69,42.321286
-113.160563,53,43.815553
-111.137195,82,46.229798
-106.879197,1600,146.111842
-116.32479,1600,251.96137
-107.347072,1600,351.906945
-107.708197,75,369.036243
-107.064774,50,370.528893
-110.843989,45,371.864266
-93.346085,1600,450.912495
-97.994382,1600,594.075542
-89.189773,1600,720.403027
-84.221237,1600,863.817201
-76.378092,1600,1004.903055
-78.089951,1600,1082.116626
-63.420964,1600,1220.704488
-44.931562,1600,1347.557022
-47.267125,1600,1481.65449
-85.509821,1600,1568.731411
-77.780224,1600,1708.787694
-62.913645,1600,1786.86729
-72.365543,1600,1928.709862
-130.793176,113,1932.016189
-64.225951,1600,2073.281384
-48.796825,1600,2200.901013
-45.836451,1600,2342.592812
-34.307509,1600,2418.260308
-26.738338,1600,2547.855993
-28.516127,1600,2661.051507
-8.717691,1600,2778.585721
-17.212122,1600,2836.292479
-3.103455,1600,2935.607087
-49.29797,1600,3059.55204
-103.457099,128,3066.366057
-86.789083,1600,3120.259699
-125.1382,85,3126.343721
-123.731928,109,3129.660394
-122.071033,111,3132.933792
-125.476844,125,3136.677633
-120.068065,68,3138.680517
-107.074753,67,3191.226027
-37.348777,1600,3247.821295
-106.220786,66,3249.861879
-122.142059,111,3253.308997
-44.270384,1600,3364.558411
-123.962982,90,3367.280632
-38.953575,1600,3479.324504
-37.992545,1600,3614.514521
-130.889671,110,3617.842722
-29.750709,1600,3759.136285
-120.418775,75,3761.482505
-27.793612,1600,3836.408892
-14.846192,1600,3978.315168
8.345029,1600,4118.131965
-99.105913,137,4122.166967
10.962072,1600,4248.474036
0.317064,1600,4390.42628
15.458346,1600,4468.400207
-133.895575,873,4600.166371
-110.629848,66,4602.628098
-115.661457,123,4611.016402
-114.962661,47,4612.757402
-131.257394,145,4625.850136
-112.144311,83,4629.107418
-112.733474,73,4636.04784
-117.945174,114,4644.43331
-114.236794,156,4650.533349
-70.767549,542,4688.735727
-67.478326,566,4724.801432
-106.412251,633,4762.45022
-88.554656,324,4836.929399
-46.82677,908,4907.584815
-119.562664,274,4917.751203
-106.014153,184,4938.670221
-88.250372,435,4955.358865
-8.093048,1254,5101.227763
-56.944686,523,5137.508716
-110.754415,106,5141.618704
-54.717423,723,5247.972451
-99.665684,184,5265.94065
-107.305673,115,5270.323152
109.963618,1600,5419.291015
97.323025,1600,5528.668001
122.785493,1600,5699.131815
132.171029,1600,5855.374725
138.80586,1600,6029.401377
155.622577,1600,6185.406086
173.104644,1600,6298.837839
187.145239,1600,6456.414147
-31.394531,935,6593.733498
-118.73316,70,6600.071474
-112.382009,72,6602.830163
-125.769877,96,6610.255513
-111.31626,62,6612.588955
-114.236096,47,6618.291346
-114.320826,48,6620.120519
-132.189744,137,6629.204315
-114.05154,41,6634.601663
-115.641978,42,6636.185652
-115.622487,50,6638.038149
-115.181968,50,6643.457642
-113.470584,64,6645.825154
-116.492207,43,6651.259707
-114.607263,42,6652.871311
-115.231982,45,6654.60176
-113.580023,41,6660.111279
-117.64574,45,6661.954243
-119.592399,44,6663.794437
-115.261702,40,6669.386179
-74.130566,526,6690.273008
-69.710984,532,6727.829771
-100.549438,123,6732.432276
-124.172915,119,6754.830504
-94.526176,135,6759.913089
-29.300319,962,6876.043629
-49.690032,710,6936.572263
-85.422305,314,6948.088187
-76.717697,403,6981.753065
-102.01737,152,6987.381111
-16.523701,784,7097.486686
-95.763327,402,7130.444582
-67.703352,331,7143.046634
-96.575614,406,7174.944676
-31.232103,686,7280.000197
-28.983208,1187,7361.937329
-1.886129,1567,7538.328498
141.072927,1600,7695.406273
132.768838,1600,7870.190389
120.465452,1600,7968.197776
164.188301,1600,8143.663067
44.278641,1287,8287.837595
162.209121,1600,8445.262626
171.40428,1600,8561.000195
-82.988038,310,8631.619588
-120.689265,89,8638.600164
-113.538804,41,8640.193484
-114.005547,48,8642.132033
-113.765271,73,8648.744299
-113.294778,41,8650.331205
-113.993353,60,8656.32799
-116.897954,42,8657.998549
-112.75268,43,8659.752766
-109.035211,95,8667.030474
-113.694384,49,8668.890645
-118.333861,43,8674.285864
-115.886026,42,8675.962816
-118.056471,44,8681.338316
-114.117852,41,8682.930929
-113.915489,41,8684.51193
-115.49414,42,8686.139046
-113.750983,39,8691.587087
-117.899344,46,8693.355991
-114.044599,39,8694.876806
-114.959824,41,8700.133236
-117.481829,46,8702.028778
-114.533085,42,8703.720388
-115.24066,40,8709.258293
-111.834332,39,8710.784515
-114.839515,40,8712.412904
-118.926377,45,8718.075668
-127.771275,214,8744.509113
-100.929744,159,8750.712691
-76.019665,541,8789.198096
-18.927042,1353,8937.021008
-79.421097,674,8980.666178
-128.683933,352,9012.536891
113.257062,1600,9169.369148
117.938409,1600,9344.701756
140.059984,1600,9441.105839
173.676744,1600,9613.307985
183.443793,1600,9773.829672
187.975242,1600,9952.842615
-41.618231,747,10000.040026
193.287655,1600,10180.166519
200.859459,1600,10336.884937
205.170419,1600,10514.089417
225.161222,1600,10612.149535
-48.022827,476,10711.401367
-112.359132,52,10713.401028
-114.931526,40,10718.81182
-114.87476,37,10720.281703
-115.440059,40,10721.888739
-114.501718,39,10727.330097
-116.884603,41,10728.920291
-115.232314,104,10736.832
-118.948511,45,10738.584929
-114.261678,39,10740.093258
-114.801163,69,10746.515984
-119.700893,44,10748.269327
-114.732641,41,10754.184538
-116.886763,41,10755.885479
-118.712612,46,10757.727115
-118.238318,45,10763.456437
-115.722474,42,10765.189615
-118.90213,44,10766.993717
-116.076002,39,10772.645122
-117.24687,42,10774.34264
-115.877022,42,10776.044574
-118.836426,44,10781.639043
-114.008312,39,10783.177977
-120.134089,47,10785.078343
