#{"t_start": 1764215627.4970884, "env_id": "BipedalWalker-v3"}
r,l,t
-112.113963,65,4.624595
-116.623583,1600,53.679193
-115.33975,1600,154.748998
-109.991841,49,156.250357
-108.891245,81,158.706182
-121.5602,71,160.776552
-111.719883,48,162.270947
-113.422803,51,163.776607
-103.827387,75,165.99441
-107.20084,1600,272.149962
-96.1059,1600,385.473383
-94.989124,1600,529.383631
-90.912953,1600,622.286032
-88.45371,1600,748.811545
-117.132492,71,750.891733
-80.830597,1600,893.567692
-64.73128,1600,1020.617457
-58.285209,1600,1159.399472
-49.338285,1600,1236.273677
-39.352486,1600,1378.196129
-57.879976,1600,1510.402013
-105.133492,63,1512.264278
-125.927007,178,1523.204386
-127.435809,99,1529.395444
-114.797748,98,1532.339906
-97.325803,98,1538.464725
-78.018429,1600,1629.281237
-69.638993,1600,1770.937202
-135.468864,130,1774.82433
-69.466576,1600,1902.736293
-55.665403,1600,2043.677398
-50.298832,1600,2170.738754
-49.397495,1600,2261.758472
-34.744302,1600,2402.577877
-26.375061,1600,2521.171664
-18.293228,1600,2645.471074
-19.623274,1600,2709.241548
-15.739467,1600,2818.680445
2.591852,1600,2919.058375
-35.428888,1600,3031.393547
-116.240185,61,3033.301919
-165.783763,643,3068.008142
-108.413218,83,3073.147715
-102.452413,77,3075.441764
-124.720976,89,3078.095717
-105.399203,94,3082.76812
-117.509905,103,3085.812248
-48.634336,1600,3138.833493
-103.267294,93,3192.153295
-122.142546,128,3200.018916
-122.937456,95,3202.813773
-98.761755,108,3206.005511
-49.324493,1600,3259.019132
-43.04734,1600,3370.208206
-43.630258,1600,3494.462704
-32.416972,1600,3617.363974
-37.106231,1600,3758.662612
-21.788993,1600,3833.74175
-120.803323,81,3836.13847
-21.662652,1600,3978.043823
-0.283603,1600,4117.854855
3.608564,1600,4244.065975
22.034246,1600,4386.037977
31.226255,1600,4462.953166
-122.42669,869,4586.809617
-117.346405,169,4600.878213
-125.566439,90,4604.219027
-113.168063,71,4610.68412
-112.112798,110,4618.543099
-114.20266,71,4621.243323
-123.203536,156,4635.238968
-115.492617,67,4637.901059
-110.475965,85,4645.148508
-98.682372,100,4649.056732
-100.508358,187,4656.230373
-92.011225,197,4681.371639
-110.182663,88,4684.693972
-133.527696,109,4688.778268
-98.126648,194,4696.194476
-85.66743,401,4725.921205
-117.34882,65,4728.358149
-96.829424,101,4732.205603
-84.354577,379,4760.272164
-75.714661,586,4863.00835
-97.327483,140,4868.292235
138.417939,1600,5041.204386
-62.788492,1073,5099.748082
129.571093,1600,5266.943498
-1.906082,1450,5409.950573
123.760313,1600,5519.849056
113.067436,1600,5673.668699
138.268833,1600,5846.193802
139.026785,1600,6001.217767
169.074436,1600,6115.057852
50.551947,1565,6271.43816
164.211667,1600,6446.071599
-19.838671,1150,6591.473059
-111.716593,89,6594.842733
-113.628676,49,6600.421695
-115.420674,66,6602.958514
-114.136605,55,6608.792179
-110.383812,87,6612.092222
-112.532763,73,6618.794471
-119.372038,44,6620.456144
-114.636018,159,6630.347492
-113.549589,77,6637.097281
-115.625888,115,6644.936809
-111.638364,57,6647.096166
-118.597587,46,6652.638324
-114.414188,40,6654.178297
-112.078192,47,6655.994217
-115.55068,49,6661.907227
-114.780397,40,6663.571148
-115.482938,42,6665.273211
-85.819703,175,6676.36331
-136.838305,145,6682.089697
-111.2894,197,6689.799051
-107.799288,362,6720.945927
-122.566334,180,6727.753168
-105.826808,101,6731.520352
-107.848257,168,6755.756107
-126.267675,176,6762.473577
-48.462588,531,6799.998915
-100.992286,135,6867.254075
-75.371,522,6902.882441
-65.586923,496,6939.478591
-84.290272,428,6955.449904
-126.057556,251,6983.216769
-113.168576,285,7056.304822
-109.739517,425,7090.420869
-112.61436,100,7094.149475
-94.351071,231,7103.043546
-122.464127,92,7124.054453
-123.009832,94,7127.767122
