#{"t_start": 1764215627.500432, "env_id": "BipedalWalker-v3"}
r,l,t
-100.058301,93,5.451504
-105.468204,88,8.084402
-97.942453,79,10.477264
-124.197352,83,12.971701
-106.993555,1600,62.920718
-117.866163,77,65.185589
-120.68353,84,117.89793
-105.975794,1600,167.906151
-107.349233,56,170.64371
-104.295403,56,172.303842
-103.957214,79,174.656725
-119.004566,1600,280.030905
-113.66394,59,281.867169
-111.135613,66,283.903135
-111.722114,96,288.196681
-97.19675,1600,416.218084
-98.919819,1600,559.009223
-77.917192,1600,686.315624
-106.419803,51,687.795642
-109.222431,55,689.386649
-91.284179,1600,780.956828
-71.184899,1600,924.036581
-72.648024,1600,1050.534677
-56.966116,1600,1189.175333
-45.358713,1600,1316.169791
-56.156225,1600,1407.56173
-98.627089,1600,1537.710605
-74.817965,1600,1628.510196
-67.79524,1600,1754.143539
-99.800046,82,1772.678357
-105.233658,114,1776.039141
-65.613972,1600,1903.949021
-43.743168,1600,2044.899655
-60.04401,1600,2171.944146
-38.964637,1600,2262.96475
-48.281281,1600,2403.839775
-21.609581,1600,2522.374074
-16.026813,1600,2646.692086
-16.862246,1600,2710.440066
-5.720003,1600,2819.889038
-9.18024,1600,2920.281476
-41.351401,1600,3032.668433
-101.312436,81,3038.157959
-157.262216,470,3061.7438
-127.188889,102,3067.718278
-104.919304,92,3073.115495
-104.668644,70,3075.196068
-119.682386,83,3077.674323
-118.0397,57,3079.372218
-118.889058,58,3082.980448
-41.849128,1600,3135.996311
-123.557522,86,3138.53365
-98.895317,127,3192.878048
-50.557282,1600,3249.522754
-100.772015,113,3253.031694
-38.244446,1600,3364.291604
-35.077664,1600,3476.38144
-117.54396,56,3478.038499
-126.796641,131,3494.251451
-39.088411,1600,3617.145519
-98.5263,71,3619.32274
-113.765831,70,3621.417356
-14.798634,1600,3762.850007
-12.894327,1600,3837.706081
-97.470896,129,3906.747712
-21.892939,1600,3983.487077
-112.238209,96,3986.35392
-8.405283,1600,4126.148551
-0.51107,1600,4267.496911
-5.047388,1600,4394.380074
18.496053,1600,4491.150646
-153.724611,662,4593.478438
-130.488796,113,4601.435669
-113.949108,48,4603.224411
-122.583168,87,4610.276477
-124.421216,86,4617.263016
-115.639274,49,4619.081563
-111.64296,74,4625.731005
-114.017388,51,4627.747915
-112.807131,76,4634.736399
-115.073579,43,4636.504863
-115.097995,59,4638.78962
-111.985683,62,4645.155888
-103.032703,208,4653.288665
-94.982295,110,4657.371052
-89.827796,272,4685.368001
-90.63387,324,4697.671776
-100.267434,368,4726.146159
-75.453844,507,4759.055795
-88.469698,628,4863.399426
-64.603538,581,4903.304462
122.847247,1600,5058.536625
-105.58721,156,5064.496649
-106.046888,60,5084.532729
-97.94002,137,5089.61556
-30.424436,1006,5144.337438
-98.43545,121,5167.58689
-121.518504,135,5232.852164
113.546934,1600,5318.563189
-124.441105,102,5335.68806
129.182244,1600,5490.00247
127.262171,1600,5660.268239
145.288104,1600,5813.856766
133.887044,1600,5987.865627
141.950637,1600,6085.265196
162.309469,1600,6259.016007
173.347827,1600,6415.705212
54.390247,1379,6584.292104
-125.896494,119,6592.556822
-116.553892,208,6604.17918
-113.136548,60,6610.217839
-114.123687,50,6612.098488
-110.536992,86,6619.290415
-113.970627,42,6620.875855
-114.835118,41,6626.299041
-115.309774,41,6627.907579
-115.199379,42,6629.465122
-113.332322,41,6634.867863
-111.22681,69,6637.436444
-112.464829,67,6643.502282
-118.237256,44,6645.126508
-113.087457,42,6646.70474
-112.758206,42,6652.10746
-113.965687,103,6656.078449
-114.38584,44,6661.784491
-119.914117,46,6663.701263
-116.39442,49,6669.685886
-84.423935,258,6680.033598
-55.295714,583,6719.842443
-105.047119,81,6723.013901
-74.161092,494,6759.439421
-130.631847,107,6763.578008
-104.586601,199,6771.09062
-108.422246,219,6796.795607
-63.369,504,6878.185955
-109.151875,138,6899.193145
-76.904179,292,6910.14169
-57.666038,632,6951.678266
-114.62631,215,6978.260041
-97.814762,144,6983.555542
-127.260734,130,6988.39546
-56.635835,582,7090.843115
-115.444585,128,7095.637641
-67.584654,494,7132.134756
-86.5972,572,7170.188005
-95.198974,463,7267.002565
-48.189875,491,7285.527111
-82.365516,326,7316.505459
-99.891604,105,7320.704291
113.63364,1600,7498.633951
-12.1269,1259,7582.750546
96.754786,1600,7741.065917
158.245141,1600,7916.171317
145.451878,1600,8072.944665
145.938086,1600,8247.32603
161.816719,1600,8344.188439
186.853657,1600,8518.993552
-35.469926,908,8631.434352
-114.05581,52,8633.37193
-113.50575,56,8639.156033
-113.210395,64,8641.689889
-114.910562,46,8647.283826
-113.570179,42,8648.904197
-116.558119,54,8650.98611
-110.532249,64,8657.12691
-113.591136,42,8658.8427
-114.262904,40,8664.135028
-116.528806,42,8665.711462
-113.94205,39,8667.184864
-115.89833,49,8672.703551
-114.383779,40,8674.340903
-118.672969,46,8676.161061
-114.222991,42,8681.45886
-117.51342,42,8683.09677
-116.066585,43,8684.75704
-116.996936,42,8690.298733
-116.132895,44,8692.007075
-114.47296,41,8693.593757
-114.192145,40,8695.163536
-118.422604,46,8700.648843
-116.868968,50,8702.680841
-114.959554,41,8708.273093
-114.936222,41,8709.886876
-112.322782,39,8711.438137
-113.366289,38,8712.986671
-106.521601,110,8739.358944
-118.208042,330,8752.08583
-31.189766,1237,8835.269238
-97.858042,209,8843.313449
-102.869327,96,8864.630686
-98.863943,104,8928.985609
-100.410663,487,8947.463822
-26.102926,1092,9025.45782
59.782576,1600,9200.576847
144.536154,1600,9357.476427
-71.505907,365,9388.783127
91.404602,1600,9543.184834
-53.009343,421,9577.072132
-91.199853,131,9581.909712
-89.917898,182,9607.001005
177.210917,1600,9767.373049
181.590381,1600,9946.821523
190.347849,1600,10107.813666
189.841291,1600,10224.178942
149.521082,1600,10380.563707
221.583361,1600,10557.882699
69.683733,1394,10711.831337
-114.370855,39,10713.327952
-116.714719,41,10718.773647
-114.683642,41,10720.422019
-115.786645,44,10722.18153
-116.293627,42,10727.743005
-114.058046,36,10729.122968
-114.941017,40,10730.678041
-119.208891,54,10736.637422
-113.997198,43,10738.317105
-115.074425,41,10739.898347
-118.176086,43,10745.307437
-120.606428,44,10747.046161
-118.774703,43,10748.744265
-114.949069,39,10754.606795
-118.239872,44,10756.406973
-121.361607,46,10758.255662
-114.964696,40,10763.799471
-118.824105,46,10765.687697
-118.457653,45,10767.530669
-117.329457,41,10773.262136
-119.16087,45,10775.08097
-118.345134,44,10776.866172
-117.040578,45,10782.46105
-119.216317,45,10784.282912
-116.83447,43,10785.964897
-112.738576,87,10793.462723
-113.976635,40,10794.997692
188.728365,1600,10913.997083
211.595118,1600,11071.928489
233.424617,1600,11249.743217
