#{"t_start": 1764158614.4065073, "env_id": "BipedalWalker-v3"}
r,l,t
-106.684552,63,8.10373
-113.862985,64,13.161878
-121.824486,1600,142.96208
-114.369086,83,149.284518
-102.81489,62,154.049072
-118.098799,1600,405.758687
-110.113392,59,412.080428
-105.279507,64,414.733166
-106.938177,1600,637.669036
-100.679192,1600,859.893342
-98.527351,1600,1179.321746
-94.371003,1600,1402.643236
-91.572132,1600,1725.896563
-71.467494,1600,2058.829778
-65.514936,1600,2301.723401
-51.98905,1600,2514.671213
-27.276806,1600,2745.290401
-35.083726,1600,3074.971129
-62.133958,1600,3329.997586
-104.017308,1600,3575.108891
-73.687431,1600,3855.798736
-120.103268,56,3863.605328
-80.92237,1600,4073.094222
-65.191609,1600,4316.445094
-43.432132,1600,4535.503464
-43.410877,1600,4752.388804
-27.002927,1600,4968.539809
-36.20785,1600,5223.748145
-15.471962,1600,5395.426642
70.413283,1600,5617.719647
52.345087,1600,5829.750386
122.106192,1600,6032.589198
130.609776,1600,6188.234589
-58.415085,1600,6431.845568
-76.006775,722,6498.17904
-81.823041,431,6542.977101
35.080871,1600,6794.983487
34.98397,1600,7043.035019
109.124222,1600,7273.978914
-53.031405,641,7422.023848
161.03052,1600,7692.801097
154.830448,1600,7955.211986
197.268764,1600,8240.486815
-1.812674,929,8467.513779
203.5058,1600,8731.387322
225.304314,1600,9021.8907
104.772496,1600,9343.206498
238.946164,1600,9623.357019
230.79936,1600,9890.237188
-121.374303,482,10006.259465
-114.635617,42,10009.819161
-113.053608,50,10018.359679
-113.478246,64,10023.840604
-116.012595,43,10031.377004
-114.935639,144,10048.573273
-114.28342,69,10054.806219
-117.047187,70,10065.368167
-119.80305,142,10082.138486
-115.021793,75,10092.837186
-115.188592,98,10101.72269
-112.649889,38,10109.466527
-91.067494,94,10117.685158
-68.881077,363,10187.570872
-101.541847,100,10196.709797
-23.281001,554,10287.307972
-97.563433,92,10295.14154
-7.108512,646,10393.57883
12.203751,724,10561.46498
242.29949,1600,10844.505444
53.100201,1196,11027.864477
223.882027,1600,11353.271128
-116.974693,56,11358.140687
6.201275,713,11462.925209
250.056948,1600,11785.780125
254.731829,1600,12037.45257
238.508968,1600,12328.530789
254.107638,1600,12527.557015
-78.268858,172,12579.656644
-77.134432,247,12641.533147
261.095832,1600,12877.536617
