#{"t_start": 1764158614.4144, "env_id": "BipedalWalker-v3"}
r,l,t
-118.752896,110,11.887593
-106.465686,64,16.832846
-110.46185,59,21.583703
-231.588255,1536,146.175008
-115.635423,67,151.380114
-102.801433,51,158.054975
-101.653314,86,164.784295
-107.236611,1600,413.713896
-109.838756,1600,635.70408
-105.300144,1600,857.901606
-111.088286,1600,1177.204082
-91.426672,1600,1400.669377
-116.868566,59,1446.839131
-79.062094,1600,1728.880014
-80.083088,1600,2062.177068
-58.683229,1600,2305.491057
-53.8225,1600,2518.182255
-29.691044,1600,2748.63494
-24.235489,1600,3078.009985
-62.264086,1600,3333.324695
-162.211929,608,3407.428606
-80.581501,1600,3671.723604
-78.355877,1600,3915.952478
-70.277203,1600,4160.348747
-62.536726,1600,4443.572642
-126.960926,134,4455.885867
-37.933426,1600,4669.025284
-16.662282,1600,4816.879979
-17.184603,1600,5062.199661
17.474297,1600,5302.495755
71.364752,1600,5535.109493
72.160031,1600,5686.82387
116.672945,1600,5896.795223
120.13122,1600,6100.884731
43.224192,1600,6327.070263
-118.808259,46,6330.895688
-86.485044,1437,6491.734099
-60.354271,827,6580.843434
-63.030777,395,6615.743521
-8.960126,1206,6820.282808
-31.306457,851,6919.835693
113.341353,1600,7205.33288
121.736644,1600,7497.910939
170.326581,1600,7775.111848
60.674972,1246,7967.696776
220.07256,1600,8295.531137
199.917237,1600,8584.68189
-18.643382,694,8679.638471
219.36979,1600,9013.040213
222.801695,1600,9291.23893
226.011145,1600,9617.421297
-43.914687,484,9700.632763
56.655777,1470,9978.227277
-111.516152,104,9991.448929
-115.087163,121,10006.208532
-111.779274,78,10016.978553
-125.332638,117,10031.052666
-115.100165,78,10038.141577
-117.418877,72,10048.796266
-119.814813,101,10061.889021
-112.877581,46,10066.235847
-113.433346,46,10070.37094
-114.848275,61,10079.954031
-114.048528,66,10085.799036
-113.871457,71,10096.349359
-115.018003,48,10100.58445
-107.297686,71,10111.088635
-96.411467,93,10118.8647
-93.763132,143,10130.941891
-112.10222,57,10134.512099
-115.170753,62,10137.920806
-57.823619,389,10215.041608
-80.640153,257,10237.462355
-64.419961,392,10313.264246
-87.32375,132,10325.009248
-75.20258,223,10387.573385
-0.310293,730,10554.476876
218.905877,1600,10837.842359
236.582414,1600,11100.975213
-12.500312,705,11263.469941
253.946845,1600,11528.690168
226.696629,1600,11806.794427
240.066064,1600,12097.070199
241.874323,1600,12350.974141
209.66573,1600,12635.259412
252.786927,1600,12830.702335
248.101067,1600,13116.220101
251.833599,1600,13407.498954
101.905821,1378,13643.652193
-110.54804,57,13652.130112
-110.550666,72,13657.923422
-113.107537,59,13665.117226
-116.022619,137,13677.856022
-114.86642,97,13684.191384
-111.578466,55,13688.679845
-112.364178,65,13697.12955
-110.525539,58,13701.592896
-114.381055,60,13709.947867
-116.249818,87,13717.034603
-111.114331,66,13725.334372
-107.649457,77,13732.106836
-110.482962,49,13739.44613
-117.736873,90,13746.922949
-114.822233,51,13754.297382
-110.387994,77,13760.507263
-105.928322,62,13769.248271
-92.262583,102,13776.775157
-104.145596,433,13845.298099
-76.935457,1145,13971.243047
-118.357236,58,13975.345632
-94.270977,129,14018.323664
-27.552324,1600,14268.890761
-91.700858,134,14279.354121
-29.94015,1600,14560.082943
-109.741034,46,14563.535697
-95.855144,499,14642.716008
-94.729987,132,14653.25505
7.200273,1600,14943.262529
-90.397103,173,14957.374841
-93.327107,181,14970.642569
-103.709934,667,15110.729223
-96.025187,115,15119.669928
16.845491,1600,15400.315989
5.436145,1600,15621.962008
15.180747,1600,15860.922019
76.121111,1600,16136.404583
72.239866,1600,16375.825182
101.74691,1600,16599.535906
8.520947,1182,16804.585786
-10.607718,1118,16975.302492
-113.979417,83,16985.185833
-117.294637,90,16995.917816
-109.967605,49,16999.628756
-110.941922,65,17004.682418
-111.198745,61,17012.595896
-123.702781,120,17025.63925
-111.196442,68,17030.781055
-114.898955,38,17037.173208
-111.086105,64,17040.86674
-111.616086,57,17048.897809
-113.763696,39,17050.593276
-113.211179,45,17052.826678
-111.14795,44,17059.823802
-109.324455,65,17064.508732
-111.636892,64,17072.813926
-113.433578,39,17075.847659
-113.549754,82,17085.484933
-110.84591,47,17089.306642
-115.398114,80,17098.720395
71.887526,1600,17325.146878
24.417088,1600,17568.38829
51.586445,1600,17837.575625
81.540793,1600,18086.581508
55.879323,1600,18189.906079
177.028099,1600,18343.277785
100.909542,1600,18463.589398
120.226341,1600,18613.834589
177.815809,1600,18742.709911
186.36018,1600,18864.971198
175.778458,1600,19014.518112
216.222053,1600,19140.670925
59.83251,1379,19258.628278
-108.219451,84,19263.91308
-112.289589,36,19265.435071
-112.443062,37,19268.919174
-119.302959,102,19273.19351
-112.109076,35,19276.351737
-110.06363,47,19278.323249
-111.770244,41,19279.987823
-110.914105,56,19284.275709
-111.160773,44,19286.238092
-113.030091,47,19288.241029
-111.171368,37,19291.441154
-110.801012,49,19293.546414
-113.412847,45,19295.449931
-113.160047,37,19298.94393
-115.211228,55,19301.159967
-113.246855,45,19304.833997
-109.849496,45,19306.614389
-111.843433,46,19308.528528
-112.528869,45,19312.313899
-115.227959,40,19314.048193
-113.034333,55,19316.352713
-113.327356,50,19320.813929
-113.658839,43,19322.538489
-112.058334,39,19324.17929
-112.75418,41,19327.815924
186.892734,1600,19448.393629
-82.64802,236,19457.829866
174.757187,1600,19602.858939
165.304423,1600,19730.824082
168.149733,1600,19881.012714
205.298395,1600,20008.014481
165.182804,1600,20107.440895
206.604431,1600,20247.884213
215.859349,1600,20408.277254
239.878725,1600,20570.968809
215.795157,1600,20682.517115
227.091843,1600,20841.666348
233.348864,1600,20979.738234
