#{"t_start": 1764158614.4013097, "env_id": "BipedalWalker-v3"}
r,l,t
-113.178549,60,7.908401
-106.287033,93,15.37551
-99.747725,69,20.664207
-114.037348,1600,150.322672
-104.676406,71,158.456173
-123.59386,165,221.271369
-106.666181,1600,418.033699
-109.578179,1600,643.76037
-99.39544,88,646.848752
-122.574089,112,651.962303
-111.909659,44,653.967385
-116.518107,94,659.564648
-100.444443,51,666.837354
-102.065319,63,672.083735
-103.56208,63,677.030287
-96.182198,1600,942.986
-97.558602,1600,1269.206593
-89.947988,1600,1554.032574
-76.299142,1600,1816.928275
-75.526135,1600,2149.129511
-71.34322,1600,2353.571657
-37.120868,1600,2611.46098
-37.882246,1600,2905.791157
-14.189654,1600,3167.477396
-104.413804,1600,3401.905429
-86.102945,1600,3665.366869
-76.534028,1600,3906.870908
-58.959736,1600,4154.899502
-62.708532,1600,4436.909406
-50.190129,1600,4586.591746
-0.887251,1600,4798.906024
-7.592109,1600,5032.785579
29.760454,1600,5284.832142
36.056431,1600,5513.462863
39.895532,1600,5669.788583
109.622397,1600,5876.37798
117.04425,1600,6082.317725
67.911737,1600,6300.165753
-121.43959,108,6313.630977
-119.543723,195,6336.183082
-123.31956,223,6364.163094
-119.480052,47,6372.705556
-112.981064,75,6379.459066
6.151352,1600,6544.438833
-73.719571,587,6609.792904
6.311223,1600,6871.778972
99.065145,1600,7128.181653
136.996824,1600,7418.590263
165.345259,1600,7689.547251
140.275893,1600,7951.849027
209.03579,1600,8237.30344
-36.045529,584,8331.738018
221.332623,1600,8655.27861
199.62493,1600,8947.030976
212.280502,1600,9265.18669
-69.952058,254,9288.517835
203.131092,1600,9613.848509
207.485791,1600,9878.981577
-110.531763,714,10019.315512
-111.580754,104,10032.299521
-117.195243,64,10038.080077
-110.353884,82,10049.379048
-113.958573,67,10055.529835
-114.059125,119,10070.525635
-123.534732,135,10086.517009
-118.015592,93,10099.284614
-115.327672,53,10103.861885
-112.074764,40,10111.947636
-11.158034,719,10213.050721
-87.142319,177,10228.775551
-115.717602,61,10234.403018
83.898769,1306,10493.613977
-17.233527,648,10634.811481
-21.666081,837,10745.452957
258.909196,1600,11028.153017
-37.255069,511,11117.27386
17.508052,814,11329.229959
231.032496,1600,11611.778438
249.151208,1600,11865.281948
250.969128,1600,12116.746878
226.17687,1600,12407.334372
242.595612,1600,12653.117565
214.980243,1600,12888.858138
254.018996,1600,13139.989362
73.778006,1185,13361.722605
97.611223,1526,13650.147673
-111.56665,58,13654.599659
-110.959432,141,13669.318799
-110.88941,64,13676.603126
-109.557482,61,13679.138591
-120.177691,107,13687.442658
-116.871653,55,13692.007069
-113.192244,47,13698.717245
-114.586652,51,13702.71284
-115.433022,62,13711.281483
-126.00121,214,13732.092013
-111.58634,60,13740.270346
-114.54698,75,13746.535593
-111.88922,67,13755.303521
-114.582905,51,13759.389533
-122.550669,79,13769.397106
9.690654,1600,13964.581597
-33.146952,1600,14248.045774
-21.899654,1600,14496.511159
-95.341496,133,14539.698006
-121.66939,134,14549.710274
