#{"t_start": 1764158614.412121, "env_id": "BipedalWalker-v3"}
r,l,t
-119.80187,62,8.033306
-117.921459,1600,138.128493
-102.248323,61,142.516153
-117.147075,67,147.840826
-98.032904,1600,400.724689
-102.525616,1600,620.294371
-97.929732,1600,843.837752
-97.463172,1600,1100.456705
-117.130877,72,1167.55213
-92.050878,1600,1390.660022
-79.634385,1600,1714.164143
-74.988534,1600,2003.867419
-62.816508,1600,2290.113044
-57.891379,1600,2431.118091
-40.550035,1600,2733.000265
-29.227948,1600,3062.914636
-45.058249,1600,3314.205251
-109.782484,1600,3563.338189
-85.077632,1600,3844.26825
-81.920718,1600,4054.87374
-74.895008,1600,4266.990912
-48.535491,1600,4518.233039
-35.48364,1600,4735.786002
-24.876171,1600,4950.912649
13.428996,1600,5145.367949
66.899801,1600,5380.2967
69.554665,1600,5600.71559
-85.302248,501,5652.288224
95.252352,1600,5857.997617
-83.926637,326,5888.929193
113.026363,1600,6093.40144
-120.11681,62,6098.772485
55.866881,1600,6320.327713
-118.397132,1398,6482.316224
9.416255,1600,6715.648274
-65.221336,552,6763.933589
-46.513562,928,6892.427559
77.386802,1600,7178.847966
21.841697,1600,7438.889959
145.927741,1600,7749.342885
178.626797,1600,7972.204629
-91.542385,129,7983.78406
172.048035,1600,8312.052614
218.374006,1600,8635.277589
-117.315128,82,8642.387951
193.922226,1600,8932.980468
183.623549,1600,9254.418354
20.660079,935,9375.838038
225.527962,1600,9702.129248
-28.97564,725,9809.555523
-60.953749,769,9986.004573
-116.229647,56,9990.629837
-114.731285,61,9999.806659
-113.95216,59,10004.966048
-112.925649,77,10015.709517
-121.683393,191,10036.671096
-111.099017,68,10047.033416
-116.412159,51,10051.493291
-117.460792,124,10066.948217
-125.297,229,10095.851622
-116.88939,61,10101.279117
-113.739388,48,10109.658653
-2.122655,663,10206.193788
35.67281,972,10333.354752
-109.193603,35,10336.896402
-33.539254,553,10487.726497
204.420111,1600,10750.187336
-71.426982,293,10839.677681
40.31778,954,11001.110552
224.338531,1600,11285.921437
218.848227,1600,11609.437758
239.225078,1600,11863.591633
231.385197,1600,12114.884242
242.482336,1600,12404.961405
255.122353,1600,12650.942513
264.093024,1572,12883.963079
233.978427,1600,13135.912005
265.424484,1584,13423.364866
