#{"t_start": 1764158614.4109683, "env_id": "BipedalWalker-v3"}
r,l,t
-119.006337,102,11.104795
-103.725279,54,15.546438
-103.665006,1600,145.304151
-106.140124,73,150.960878
-99.438958,64,158.49191
-110.345747,59,162.982004
-122.054552,92,169.41786
-100.024852,1600,416.808293
-105.621869,83,423.354454
-121.150942,99,468.796183
-121.280427,133,479.342022
-109.816639,46,483.05393
-90.966339,1600,660.311918
-102.537508,1600,928.615885
-112.908261,59,933.571612
-96.691883,1600,1259.727245
-107.539507,57,1264.615916
-85.739261,1600,1549.282701
-88.418624,1600,1812.672401
-69.598222,1600,2102.105146
-53.671638,1600,2348.878302
-50.731923,1600,2607.012026
-34.408001,1600,2901.712946
-22.047123,1600,3162.838919
-80.414399,1600,3392.868909
-92.193052,1600,3661.037379
-82.198804,1600,3902.398627
-77.38748,1600,4150.240761
-60.293827,1600,4428.547182
-55.467349,1600,4581.985221
-18.208632,1600,4794.277147
2.489717,1600,5028.323281
16.5755,1600,5280.585571
49.980027,1600,5509.079346
83.271073,1600,5666.169983
84.097111,1600,5871.788141
108.717826,1600,6077.706362
72.660279,1600,6295.352502
-141.19047,1476,6468.701091
9.865601,1600,6689.200929
75.613572,1600,6889.750669
144.141038,1600,7145.194495
148.274317,1600,7435.833714
151.29347,1600,7746.653486
190.059212,1600,7969.120152
-91.670816,104,7978.660162
189.761798,1600,8306.891865
223.628972,1600,8592.819643
82.080594,1306,8893.700296
196.218435,1600,9118.091466
238.483797,1600,9436.461784
242.258294,1600,9722.463119
40.081545,1160,9972.514136
-123.74279,89,9980.745228
-113.164724,118,9994.818547
-114.50103,96,10007.482011
-114.622482,51,10015.655221
-126.407054,182,10035.736381
-112.071947,65,10041.819833
-115.10986,129,10061.534744
-112.679691,59,10066.942138
-115.24975,52,10071.552186
-113.36543,71,10082.045514
-113.502041,65,10087.835268
-118.291187,64,10097.888699
-12.692489,785,10209.184761
-16.561995,640,10307.130685
-109.642576,34,10310.172095
-116.41467,71,10316.71697
-47.5161,393,10393.078099
-118.12394,76,10400.425476
-55.667815,285,10485.342585
211.499079,1600,10747.891096
198.839295,1600,11030.541654
241.889568,1600,11356.028549
225.121422,1600,11680.112186
218.202394,1600,11889.484868
240.021356,1600,12175.783577
62.959349,999,12350.838105
236.211734,1600,12635.206095
268.210561,1531,12824.784155
-68.079558,274,12880.01657
253.837308,1600,13132.748446
247.870271,1600,13421.550889
71.995856,1176,13643.731284
-111.424085,74,13653.496629
-117.190154,79,13663.446199
-114.558047,44,13665.776552
-113.257067,54,13672.166003
-111.177357,102,13679.147865
-116.536756,70,13684.261105
-114.410422,65,13689.763812
-113.601514,73,13698.673932
-111.961063,86,13705.608744
-120.372407,133,13719.823807
-117.23974,54,13727.056871
-113.532431,65,13732.983473
-112.261033,78,13742.694736
-113.104851,71,13752.01309
-114.503747,66,13757.055844
-109.428786,98,13768.339301
-99.242252,154,13780.792706
-96.019869,118,13789.519804
-11.579417,1600,14018.260197
-6.367736,1600,14268.806818
-20.600928,1600,14549.33356
-99.824257,1361,14783.347406
-114.446326,63,14788.158169
-11.963641,1600,15022.072673
-114.884642,62,15083.52722
-92.732981,122,15092.299231
1.500349,1600,15285.347994
-9.686374,1600,15559.079289
45.966706,1600,15836.24167
19.645639,1600,16076.334823
3.517661,1600,16300.31057
109.072714,1600,16541.261248
7.686658,1495,16802.515296
-52.692163,1112,16972.301468
-113.085145,55,16977.041539
-113.942518,41,16983.542165
-114.95799,51,16987.81147
-112.546974,36,16990.802572
-113.506794,44,16997.581066
-112.802129,91,17004.430238
-111.396992,60,17012.277235
-113.860121,56,17016.728916
-111.035341,65,17025.337436
-111.899028,71,17030.822675
-114.49955,57,17038.50968
-117.229533,51,17041.379144
-114.542013,54,17049.045651
-113.98332,40,17050.771687
-116.056108,41,17052.872435
-112.330381,61,17061.096414
-112.869683,76,17066.655899
-110.932646,35,17072.78956
-115.362162,39,17075.839395
-115.469823,72,17081.39777
-118.060749,40,17088.169222
-109.316565,58,17092.311679
-110.52876,84,17102.053512
-39.297247,1564,17325.887514
-82.683205,636,17463.210665
99.1637,1600,17645.814475
-90.776362,665,17817.505947
85.9094,1600,18006.351749
-116.190526,77,18056.874336
119.216725,1600,18180.906481
32.221476,1385,18304.439747
100.565654,1600,18446.628651
115.59959,1600,18575.640943
-66.990647,647,18622.309356
179.182827,1600,18772.218288
150.42302,1600,18873.430099
-89.484892,467,18941.323753
173.895577,1600,19061.778386
188.376901,1600,19186.789123
-25.061233,632,19256.125958
-113.552066,40,19257.759774
-112.724441,35,19259.213043
-112.698137,42,19262.745665
-113.270611,44,19264.650024
-111.467183,36,19266.119201
-108.8821,52,19270.199866
-111.387973,38,19271.790361
-114.527022,38,19273.366183
-112.478794,41,19276.805442
-114.625198,48,19278.81992
-112.208509,60,19283.20867
-113.347731,42,19284.979586
-113.791795,52,19287.294314
-112.677825,38,19290.621371
-111.531994,52,19292.800221
-111.053624,40,19294.494633
-112.352914,62,19299.007528
-111.917116,69,19301.797089
-111.606853,36,19305.070041
-113.848967,44,19306.836228
-111.081061,66,19309.631661
-112.458318,51,19313.694066
-116.572527,51,19315.842528
-112.145385,41,19319.870351
-113.555925,51,19321.984634
-111.287849,38,19323.593752
-111.674302,38,19327.086703
149.62539,1600,19447.634981
38.97884,1271,19562.808898
32.220016,1216,19642.263212
-48.971236,376,19686.463377
-63.249587,607,19731.551786
220.743867,1600,19881.695948
180.833485,1600,20008.752937
212.220329,1600,20108.2269
214.373966,1600,20248.296326
186.708944,1600,20408.700185
217.632345,1600,20572.026391
211.788407,1600,20683.263786
209.061272,1600,20842.426111
229.866588,1600,20980.446016
-91.071392,149,21009.633653
23.311559,933,21096.697505
-114.061419,67,21101.662888
-111.863519,35,21103.575879
-114.25765,37,21105.274621
-114.525645,38,21106.997019
-115.446158,38,21110.788516
-112.55147,35,21112.472923
-112.095932,42,21114.498716
-112.202831,55,21119.056548
-110.237675,44,21121.248317
-110.862289,41,21123.274904
-110.808272,53,21127.694931
-116.24267,73,21130.861861
-115.220289,51,21135.237642
-118.376472,79,21138.958486
-113.096855,39,21142.717834
-111.555881,36,21144.266548
-114.353748,64,21149.019005
-115.306747,39,21150.92559
-112.899284,39,21152.652678
-115.206742,42,21156.47862
-114.438198,38,21158.262398
-115.723221,40,21160.026782
-117.211182,40,21161.821464
-113.963083,36,21165.512698
-113.450173,39,21167.298305
-116.095728,39,21169.126945
-115.550238,39,21173.105394
274.356877,1600,21281.680975
253.201607,1600,21443.009718
-50.924083,364,21482.00166
268.305384,1600,21617.32965
275.361556,1576,21777.282846
275.629001,1600,21916.983227
265.490638,1600,22053.407517
280.704378,1596,22179.066935
277.796128,1499,22335.918816
279.135259,1526,22473.054695
278.214147,1561,22602.386169
279.412624,1518,22744.423435
281.206452,1579,22904.108763
126.777624,1342,23033.157632
-112.332916,38,23036.740397
-113.300796,39,23038.530184
-110.474031,42,23040.558187
-109.149899,51,23044.804123
-109.299569,44,23046.817589
-113.093434,41,23048.636648
-112.213243,47,23052.842776
-113.505751,42,23054.773705
-114.494925,41,23056.716476
-113.080533,42,23060.567144
-114.10343,39,23062.4193
-112.812446,39,23064.030984
-112.703011,37,23065.848798
-112.455944,39,23069.579096
-115.636013,40,23071.447316
-112.885981,41,23073.322301
-114.45179,39,23076.779841
-114.67832,39,23078.380931
-116.303982,40,23080.20584
-113.952103,38,23083.878125
-116.463195,40,23084.880836
-116.566147,40,23085.893103
-116.132537,44,23090.37632
-114.36872,39,23092.491123
-111.649859,38,23093.428666
-115.698078,40,23095.529624
-113.841637,38,23096.469679
-117.185224,41,23097.50354
-114.868016,39,23098.483631
-112.073752,42,23102.20357
277.166837,1424,23210.246807
135.529433,1369,23338.661691
281.16227,1417,23470.142869
116.458663,1090,23561.983783
281.137663,1403,23694.275217
285.98603,1384,23815.591099
279.446456,1471,23949.631821
286.583126,1329,24083.642153
283.569931,1358,24176.672103
88.419946,1036,24289.991897
278.661969,1444,24428.934798
285.178148,1368,24523.656786
285.931216,1384,24675.705081
285.291643,1345,24801.632117
280.315175,1426,24908.90308
-63.968214,270,24947.393425
-112.114584,39,24948.365048
-114.106767,39,24950.370625
-112.247296,37,24951.302661
-113.369833,38,24952.813151
-112.326399,38,24956.828022
-113.836696,38,24958.699883
-113.247131,38,24960.351589
-113.422635,39,24962.194705
-113.569917,39,24966.178658
-114.121638,39,24967.898381
-112.397706,38,24969.694202
-107.014,44,24973.674354
-114.61133,39,24975.692648
-114.074411,38,24977.542957
-112.238898,41,24981.670475
-114.664166,39,24983.586814
-112.335987,38,24985.263061
-113.198256,38,24989.057294
-114.983247,39,24990.849125
-116.207853,40,24992.760466
-113.828125,38,24994.52681
-113.814929,38,24998.284683
-113.405887,40,25000.346852
-114.560343,39,25002.135582
-111.890276,39,25006.16393
-113.234408,38,25007.82878
-114.375094,39,25009.630484
-114.778612,39,25013.619929
-115.210176,39,25015.422902
-114.840893,39,25017.105811
-113.601459,39,25018.977427
-35.063721,588,25069.946516
27.259202,794,25142.623782
147.425857,1209,25267.386087
62.590281,833,25319.451772
281.935701,1443,25453.313743
-74.180474,223,25485.525527
0.731569,650,25537.543881
88.723758,1006,25628.42626
284.962671,1386,25729.686982
283.34842,1352,25876.569053
286.638403,1357,26005.254633
283.572377,1383,26105.897925
3.264614,567,26170.787926
284.288503,1337,26268.327743
285.323298,1352,26391.010118
35.013008,731,26445.807063
288.630391,1415,26599.25786
282.987692,1370,26728.951176
282.420618,1389,26827.634155
-88.897914,187,26866.140929
-111.277202,35,26867.678967
-113.549106,39,26871.618611
-115.505001,40,26873.461683
-114.465232,40,26875.637373
-114.451022,39,26879.620884
-114.917569,39,26881.435091
-113.843367,39,26883.11245
-113.219886,38,26887.081728
-114.711219,39,26888.88975
-114.236619,39,26890.712214
-114.631778,39,26894.421699
-114.766963,40,26896.178304
-114.393744,39,26897.955026
-114.85754,39,26899.820738
-115.234408,40,26903.555101
-113.311541,38,26905.474349
-114.209738,39,26907.384706
-114.372539,39,26911.096126
-115.571028,40,26912.92057
-114.88427,40,26914.841071
-113.740816,38,26918.687113
-113.019899,41,26920.580758
-114.029362,38,26922.521014
-113.08078,38,26926.531385
-115.214793,39,26928.243808
-113.463581,38,26929.977779
-113.269159,38,26931.67718
-115.053648,39,26934.869838
-114.572193,38,26936.743716
-114.310694,39,26938.445115
-115.033214,39,26942.359168
285.011272,1328,27035.947375
286.010789,1349,27166.565165
285.743197,1385,27289.356423
284.276304,1286,27411.445561
284.160113,1357,27536.208993
285.41951,1319,27631.742463
285.300289,1322,27764.808477
284.855116,1371,27891.707583
285.297448,1349,28011.631035
284.540636,1394,28139.654074
285.49708,1345,28271.218722
284.206382,1340,28367.649603
285.069323,1312,28494.480261
282.665726,1335,28628.233346
285.966038,1302,28727.685117
-34.300566,482,28801.571552
-114.751267,37,28805.435318
-116.291727,38,28806.630392
-116.230903,38,28807.587341
-115.281998,37,28811.103536
-117.917026,40,28813.765266
-116.209753,38,28815.052839
-114.693389,36,28815.96227
-115.354305,37,28817.98918
