#{"t_start": 1764158614.4132335, "env_id": "BipedalWalker-v3"}
r,l,t
-96.168254,132,13.460485
-105.539863,1600,143.557476
-112.684583,56,147.593541
-140.476358,412,232.384009
-101.248917,84,238.760805
-115.433787,1600,473.409568
-104.491145,1600,653.175316
-103.4344,73,656.30851
-99.877266,83,666.340128
-99.493783,67,671.83933
-99.677898,55,676.183338
-92.362418,1600,941.983865
-90.420365,1600,1268.077975
-82.10214,1600,1552.926139
-86.997517,1600,1816.111083
-67.660591,1600,2148.053292
-56.466068,1600,2352.55898
-55.547943,1600,2610.523254
-37.229311,1600,2905.077408
-11.209447,1600,3166.300032
-99.55507,1600,3401.089762
-75.724317,1600,3664.576807
-73.043501,1600,3905.903617
-74.181775,1600,4153.757841
-64.620952,1600,4435.517347
-40.586248,1600,4585.495251
-31.873007,1600,4797.639966
-47.693715,1600,5031.850495
19.526272,1600,5283.924473
15.237422,1600,5512.745917
84.995472,1600,5669.183633
102.747726,1600,5875.4521
124.156524,1600,6081.377296
77.427461,1600,6299.118149
-38.907494,1600,6483.097678
-88.952801,107,6492.334525
-62.279957,957,6593.436711
67.734083,1600,6832.112697
127.959318,1600,7111.765166
94.02851,1600,7372.272151
160.864082,1600,7609.667915
192.379526,1600,7935.280873
75.098343,1466,8208.26659
100.950187,1600,8497.046088
230.503302,1600,8823.508159
199.563949,1600,9093.357122
-122.628912,85,9100.019358
234.136948,1600,9375.944803
219.89711,1600,9702.275926
68.252825,1481,9984.954629
-118.421383,136,10000.61465
-119.187549,220,10024.156164
-117.605701,49,10032.258148
-115.636842,62,10037.939264
-115.845945,53,10046.87558
-111.342631,89,10054.737597
-114.793814,72,10065.448929
-112.950395,117,10080.058147
-113.632734,71,10086.133231
-117.807633,138,10102.734349
-110.539488,53,10112.047013
-110.189454,35,10115.318716
-122.531725,65,10120.144341
-30.680443,630,10214.173598
-108.093257,36,10217.542398
14.285334,789,10328.526602
-48.07624,417,10404.913376
-107.453221,38,10406.605947
65.374481,1221,10662.551608
-71.400786,194,10676.469899
-77.606366,244,10738.155085
-75.572465,243,10760.732293
-90.694578,153,10837.468323
229.458589,1600,11100.312399
5.565292,784,11269.989034
248.064343,1600,11535.039856
235.522638,1600,11812.894091
-95.583142,102,11820.632251
79.062878,1298,12087.32852
252.024853,1600,12340.599225
232.473958,1600,12577.001945
263.173918,1585,12819.657411
258.236802,1600,13107.799474
262.516962,1585,13358.852735
140.155962,1532,13643.37279
-114.696834,117,13656.620895
-112.813749,75,13665.307052
-119.924219,157,13678.842136
-113.111171,58,13683.166677
-115.229441,40,13685.863059
-116.144825,122,13698.985436
-113.754221,45,13702.629484
-111.17389,58,13710.785183
-111.710231,94,13718.481748
-114.382129,83,13728.057088
-115.345375,61,13733.477368
-119.476139,129,13747.347087
-114.391936,70,13756.423061
-112.703411,76,13765.848206
-22.977393,1600,13961.462899
-17.51554,1600,14245.07041
-114.960065,61,14249.637125
-94.373727,119,14258.87729
-96.319713,721,14402.755937
-81.123045,800,14501.318489
-11.844975,1600,14786.174415
-10.508392,1600,15019.882006
-108.606128,43,15023.524106
-96.090129,157,15091.704186
-3.399035,1600,15284.861699
-6.932946,1600,15558.570523
19.85861,1600,15835.581765
55.684853,1600,16075.478401
34.528604,1600,16299.640463
102.856055,1600,16540.436501
119.604793,1600,16809.77756
-54.765235,1142,16985.817078
-113.155527,77,16992.345222
-117.200259,79,17001.782236
-112.973849,44,17005.141112
-114.405164,70,17013.636023
-114.043155,76,17023.310048
-111.700206,53,17027.544863
-113.561857,41,17030.647649
-112.933712,36,17036.717013
-111.137959,55,17040.229959
-112.46626,35,17042.892734
-112.151416,78,17050.697624
-112.996131,45,17052.971667
-114.353553,81,17062.6724
-111.45615,53,17066.559387
-115.466229,57,17074.225073
-113.814535,37,17077.126067
-117.813918,40,17080.354534
-113.664957,44,17087.271446
-114.494648,42,17090.345973
-112.494122,38,17093.266932
-112.10318,49,17100.487397
-103.746795,98,17142.137612
-105.91074,196,17157.138247
-80.627905,1383,17332.713996
82.501807,1600,17605.589817
88.75905,1600,17845.404703
-56.319093,1292,18057.044753
99.216939,1600,18181.08297
173.607456,1600,18313.479828
149.297133,1600,18455.215472
170.959781,1600,18584.656482
175.961136,1600,18706.880749
191.277066,1600,18856.458605
191.843947,1600,18985.40776
-78.123999,308,19018.55243
-92.929189,118,19023.277608
190.545955,1600,19149.460245
42.232957,1139,19257.718464
-112.306837,37,19259.263925
-112.804778,47,19263.05787
-111.918561,60,19265.509118
-116.366381,78,19270.71237
-112.94223,50,19272.794903
-113.744591,50,19276.636941
-112.399066,37,19278.186803
-111.56883,36,19279.658221
-114.568786,38,19283.133599
-112.571798,67,19286.087507
-111.19925,34,19287.488309
-111.745114,36,19290.730681
-110.831863,66,19293.509834
