#{"t_start": 1764158614.4087386, "env_id": "BipedalWalker-v3"}
r,l,t
-109.335941,42,6.520967
-105.166846,73,12.294412
-104.757436,73,17.866634
-117.097693,74,24.367435
-116.877154,1600,153.351846
-103.683383,61,160.590104
-113.662008,1600,411.44125
-95.550709,1600,633.106555
-102.661112,86,639.220017
-93.063417,1600,861.028382
-105.117185,1600,1180.545375
-89.658433,1600,1444.227746
-99.29542,66,1450.199923
-78.039707,1600,1732.550306
-68.324957,1600,2065.882906
-53.304066,1600,2309.051331
-52.880102,1600,2522.198857
-29.008186,1600,2752.28003
-30.243748,1600,3081.69031
-70.566751,1600,3341.029474
-151.911444,432,3391.589093
-85.801469,1600,3659.822027
-76.604965,1600,3900.938696
-71.370231,1600,4149.043805
-63.191301,1600,4427.37705
-35.075013,1600,4580.766888
-39.421394,1600,4793.399221
1.225268,1600,5027.199303
17.293623,1600,5279.262962
65.832176,1600,5507.636455
-71.288476,786,5580.847421
-4.993615,1600,5795.538635
-45.281353,793,5868.460731
86.789746,1600,6074.887293
92.276505,1600,6288.135831
-156.854616,1486,6466.535615
28.49926,1600,6686.983999
28.889279,1600,6887.491856
135.836653,1600,7143.030651
-11.238804,1367,7412.320683
-34.270015,1600,7683.164134
-88.321389,173,7698.801058
184.748665,1600,7961.4747
208.079151,1600,8289.453746
186.683617,1600,8579.258146
227.018473,1600,8903.300378
189.48904,1600,9189.13221
32.276978,1164,9367.034218
223.915251,1600,9693.38774
77.323857,1432,9963.530302
-113.391185,87,9975.003694
-111.46942,107,9988.811391
-117.794367,44,9992.435909
-113.186813,100,10005.014143
-124.147161,131,10020.665002
-110.126572,117,10034.967921
-113.381141,68,10041.547101
-114.765881,55,10050.268841
-117.36626,61,10055.586405
-114.483684,42,10063.467771
-117.05303,132,10079.76683
-114.88416,57,10084.834004
-117.897824,111,10098.879956
-117.10189,73,10109.600559
-94.335076,148,10123.185526
-35.055263,435,10198.971525
-123.797399,61,10204.379833
-16.982915,627,10301.199332
-93.790153,94,10309.303372
-107.143591,38,10312.604754
-25.782049,669,10473.823716
-36.447295,544,10564.952892
-68.940766,290,10590.619006
-117.633492,60,10637.504985
228.737158,1600,10920.102195
223.138262,1600,11242.750181
215.972837,1600,11465.650576
23.29428,1006,11694.688982
233.626762,1600,11952.241951
237.098876,1600,12189.858937
251.232056,1600,12483.039225
233.815346,1600,12727.803799
254.956931,1600,13015.85445
245.003242,1600,13213.032233
249.156502,1600,13505.223025
-58.242861,664,13652.179984
-121.834685,119,13664.494964
-118.85677,99,13675.892827
-111.147211,57,13678.257323
-115.662839,58,13680.756835
-110.180208,89,13688.890747
-113.839428,53,13696.454338
-129.87739,187,13714.741865
-118.096942,133,13728.31215
-111.6933,74,13738.587654
-113.409367,61,13743.572786
-111.41689,55,13751.3129
-110.624055,60,13756.117713
-112.688697,46,13759.69575
-26.441104,1600,13958.778507
-93.110553,130,13969.596399
-93.471907,116,13978.228854
-43.829568,1600,14261.576182
-92.258657,147,14273.483021
-6.090667,1600,14553.871892
28.723978,1600,14806.335845
-25.822706,1600,15096.192057
-86.450799,987,15243.481869
16.164696,1600,15481.261739
45.345101,1600,15757.254049
-14.341359,1600,15943.180149
83.3853,1600,16220.375859
98.435151,1600,16462.571882
-88.666315,1238,16667.149364
142.843048,1600,16893.106275
-103.349159,330,16972.150711
-121.452671,103,16983.712877
-113.657925,49,16987.902784
-113.177684,111,17000.189548
-114.353704,51,17004.091178
-110.504091,51,17010.953193
-113.089723,45,17014.5581
-112.724744,37,17017.538163
-111.577131,48,17024.942105
-111.513861,47,17028.668159
-110.969003,71,17037.401593
-113.937661,137,17049.688217
-115.007911,68,17052.95875
-113.272644,41,17059.810107
-114.616504,74,17065.325519
-114.157561,63,17073.227677
-113.183107,70,17078.579773
-113.128925,47,17085.972374
-112.029976,41,17089.204549
-113.901365,39,17092.086768
-111.61453,43,17098.702488
-103.649589,142,17143.542983
46.442351,1600,17335.810885
-84.348753,1403,17563.850625
123.953234,1600,17833.643862
112.74565,1600,18063.335615
90.92741,1600,18187.676393
163.512214,1600,18341.021329
172.156349,1600,18461.367978
128.253381,1600,18611.623317
-2.610837,814,18664.777244
179.624293,1600,18814.290106
203.682466,1600,18944.314983
218.687149,1600,19064.838125
204.367086,1600,19189.828059
-44.561831,602,19257.858142
-112.560436,43,19259.688193
-112.605005,48,19263.515648
-112.954927,56,19265.837751
-110.097809,54,19269.992345
-109.921297,54,19272.253623
-112.184987,39,19273.867706
