#{"t_start": 1764158614.4026587, "env_id": "BipedalWalker-v3"}
r,l,t
-102.322257,1600,132.493799
-114.851297,1600,385.355944
-107.900544,76,391.343761
-107.742707,1600,611.095525
-97.369692,1600,834.785767
-106.902677,1600,1047.900887
-88.301409,1600,1374.65483
-82.669653,1600,1697.366696
-96.210551,1600,1987.167761
-61.279812,1600,2273.438055
-49.191604,1600,2413.800037
-36.543221,1600,2715.851845
-27.310883,1600,3007.583518
-32.527808,1600,3294.165819
-177.039405,813,3389.769125
-72.516629,1600,3657.774482
-89.863579,1600,3899.394329
-60.230362,1600,4147.443259
-61.859396,1600,4425.475162
-35.809335,1600,4579.225033
-11.560071,1600,4792.378204
6.983812,1600,5025.868893
24.178473,1600,5277.56223
36.183478,1600,5438.70664
87.52392,1600,5663.53984
94.463002,1600,5868.817949
115.517797,1600,6075.216259
86.762368,1600,6288.288115
-61.588478,1600,6476.957556
-88.741314,105,6484.987895
-89.702625,105,6493.835857
8.392328,1600,6729.299404
-58.303263,611,6804.767772
126.660377,1600,7052.34581
102.488419,1600,7343.606639
-118.082361,82,7351.311403
-115.61809,49,7355.603095
-121.826246,64,7361.61782
105.498541,1600,7598.863105
119.321036,1600,7882.414519
202.748725,1600,8209.413198
74.340377,1383,8477.65074
218.484089,1600,8741.619139
220.424162,1600,9032.131345
219.227412,1600,9353.335811
225.300709,1600,9634.139065
31.561205,1116,9818.993448
-57.694045,586,9974.722039
-111.271964,103,9988.1228
-124.094663,195,10008.962124
-113.664871,77,10019.663469
-114.647342,85,10031.036857
-116.277746,182,10051.478075
-117.248801,76,10062.550519
-121.228695,116,10073.011997
-114.644639,52,10081.658437
-114.237969,86,10093.398557
-116.014543,100,10102.550977
-112.508971,40,10110.502305
-107.397078,35,10113.714235
-120.389114,63,10118.525766
-60.771425,417,10193.768981
8.1244,639,10291.852443
229.052572,1600,10577.807984
-28.200717,667,10674.85004
59.474145,1319,10934.431197
234.195414,1600,11259.072425
230.270611,1600,11523.990317
238.616676,1600,11802.553483
245.833185,1600,12093.171889
89.301494,1228,12314.699715
-9.190464,642,12401.483194
244.670804,1600,12646.835136
250.176683,1600,12881.226507
244.709542,1600,13134.077688
245.303708,1600,13422.757663
73.232505,1186,13649.998435
-114.82265,67,13655.038736
-111.862862,65,13663.678918
-114.618317,136,13676.675264
-112.353123,62,13679.316283
-115.65456,67,13684.253684
-111.64719,85,13691.373119
-114.033843,40,13697.717457
-110.080697,57,13702.168951
-114.861947,44,13705.695186
-112.017659,81,13715.747111
-119.312043,176,13733.366512
-114.692497,63,13741.8524
-113.807638,45,13745.819768
-117.887927,83,13755.680611
-113.98295,42,13759.093035
-112.865948,37,13765.347456
-98.616088,112,13774.501425
-95.3374,103,13782.49676
-94.660467,151,13793.995767
-123.005806,146,13805.883711
-93.911759,127,13850.506742
-91.468826,404,13881.792892
-94.925185,100,13889.746705
-27.945641,1600,14172.625031
-94.109115,142,14184.175164
-19.648543,1600,14467.758579
-91.908131,167,14480.679537
24.285408,1600,14766.280745
-12.748337,1600,14969.282132
2.912951,1600,15251.158205
10.213187,1600,15488.680892
-10.838754,1600,15764.527322
26.527065,1600,15950.521711
70.906734,1600,16227.657281
102.978237,1600,16505.530087
108.345361,1600,16739.339072
-23.827272,1481,16973.23631
-115.18112,61,16978.394864
-109.13756,53,16985.71812
-114.139727,63,16990.974281
-109.253086,86,17001.17559
-115.180659,101,17011.878648
-112.855253,51,17015.875922
-112.996156,55,17024.068366
-108.626844,100,17031.650829
-118.005108,51,17038.80664
-113.259596,41,17040.902432
-113.124255,37,17044.545063
-106.382153,69,17051.102736
-114.53177,55,17054.470816
-112.678116,83,17064.235552
-107.61934,62,17072.130994
-112.04807,36,17075.006544
-115.200522,40,17077.969184
-114.194102,39,17081.183961
-113.037975,60,17089.288087
-113.04088,41,17092.303046
-109.935094,63,17100.570357
-99.69177,122,17143.93536
-72.03093,1106,17264.965448
-104.703366,69,17269.566271
54.177067,1600,17547.258786
-94.865422,1131,17698.035577
97.930186,1600,17939.16527
98.067818,1600,18136.510185
118.673067,1600,18291.245662
8.008738,1246,18384.637519
83.729399,1600,18504.42611
137.764761,1600,18654.208564
33.405568,1259,18769.630819
188.050765,1600,18871.082292
141.889365,1600,19020.833568
200.443338,1600,19147.030753
25.993141,1233,19259.011279
-113.104906,38,19262.471104
-112.399463,47,19264.411568
-117.263454,68,19269.18819
-110.77972,44,19271.082933
-112.055999,63,19273.675277
-111.935237,37,19276.958188
-113.538998,57,19279.306643
-111.040856,58,19283.619088
-109.523579,59,19286.229461
-112.322462,38,19287.844118
-113.350613,48,19291.523443
-111.198712,35,19293.000713
-113.868374,48,19295.080892
-111.548628,37,19298.549032
-111.388417,41,19300.210258
-113.901009,41,19301.879383
-111.811019,36,19305.150958
-114.048797,40,19306.749336
-112.660099,38,19308.315245
-114.574373,41,19312.025246
-111.338085,36,19313.52647
-113.666544,86,19317.264354
-112.815669,44,19321.370094
-112.687271,63,19323.874548
-111.737238,69,19328.772767
190.313637,1600,19449.246505
-53.435353,370,19464.276356
