#{"t_start": 1764158614.4076214, "env_id": "BipedalWalker-v3"}
r,l,t
-114.826132,76,9.095429
-112.870275,1600,139.179951
-105.31036,57,143.599404
-103.673719,62,148.118298
-111.781264,1600,401.248105
-99.606324,90,406.971774
-112.274456,115,414.908764
-100.562061,1600,638.358065
-104.600148,68,644.008191
-108.381679,51,645.622523
-118.402705,80,649.630897
-102.669256,67,652.222032
-115.470534,58,654.815506
-103.639446,55,658.033903
-107.436264,1600,926.483117
-100.939281,63,931.708224
-93.240079,1600,1257.582471
-81.843733,1600,1542.356261
-85.766654,1600,1805.476142
-74.873222,1600,2095.28159
-55.676435,1600,2342.030668
-38.211601,1600,2555.259155
-37.787663,1600,2894.481719
-20.592902,1600,3155.930301
-79.999378,1600,3385.864224
-83.410437,1600,3653.643655
-75.79619,1600,3895.327668
-69.129459,1600,4143.33629
-66.154364,1600,4421.527876
-25.024352,1600,4574.870156
-26.574274,1600,4787.025778
-0.907057,1600,5021.304726
32.121139,1600,5273.516216
-67.4983,847,5364.217896
51.341859,1600,5580.600685
90.572165,1600,5795.322705
26.013186,1600,5944.737273
-96.742285,88,5952.789701
107.665042,1600,6159.576192
-26.5783,1600,6398.368121
-114.223721,70,6408.686787
-119.915536,43,6412.677761
30.007245,1600,6581.473987
-59.222598,716,6720.945354
-93.798315,121,6732.293951
41.334565,1600,6918.946554
71.731939,1600,7204.511398
-8.303306,1224,7431.384435
-61.242056,553,7513.0603
174.752584,1600,7791.050462
22.240876,1037,7963.91361
177.939654,1600,8291.777191
203.30009,1600,8581.175836
-76.309345,190,8595.303352
-118.736903,91,8640.773093
219.441574,1600,8931.305825
226.920848,1600,9253.532656
86.76005,1311,9447.362313
-61.814251,299,9475.05589
209.751026,1600,9803.067755
-31.529883,878,9989.355542
-114.660517,173,10008.628895
-114.044293,73,10019.062093
-110.985712,62,10024.422473
-110.300729,112,10038.464506
-112.440188,55,10047.382355
-114.203576,77,10054.348547
-118.805936,84,10065.867847
-115.148562,64,10071.717706
-123.013652,182,10096.442817
-121.0621,92,10108.719996
-56.069705,322,10134.640116
-95.214464,96,10140.084494
111.01384,1566,10403.936052
-83.339047,257,10488.518325
-79.855233,207,10549.656789
-118.689637,65,10555.456239
-40.565365,479,10638.939925
-72.838794,243,10660.308573
25.993926,911,10841.588639
210.479497,1600,11104.430649
-117.702212,63,11109.632709
233.531267,1600,11433.577339
237.812799,1600,11716.21121
249.8044,1600,12009.582784
238.824651,1600,12207.435652
